Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
0.267763	0.0711506	0.216089	0.171611
0.969296	0.198722	0.317383	0.156773
0.972925	0.217076	0.345883	0.164722
0.958969	0.322784	0.305203	0.140096
0.649923	0.383919	0.344805	0.082887
0.862801	0.181189	0.265248	0.114996
0.35627	0.105689	0.207552	0.182873
0.976065	0.160082	0.267887	0.156115
1	1	0.886482	0.154858
0.458123	0.318847	0.35671	0.131532
0.49397	0.109554	0.355417	0.498261
0.458123	0.464876	0.0964546	0.0234945
0.511008	0.455472	0.0748473	0.0296981
0.745356	0.778644	0.144056	0.0916869
0.519963	0.231384	0.241678	0.102021
0.866025	0.571911	0.403134	0.111275
0.159614	0.0711506	0.304811	0.172111
0.748403	0.294109	0.341722	0.0662044
1	1	0.880695	0.636619
0.532939	0.513271	0.396426	0.0963064
0.188975	0.13603	0.0316264	0.036634
1	1	1	1
0.339687	0.122171	0.339569	0.137761
0.607883	0.189718	0.228366	0.194357
0.157541	0.0711506	0.320318	0.172111
0.176271	0.0545072	0.322706	0.173533
0.470588	0.323881	0.411966	0.0907676
0.866025	0.707556	0.262739	0.0467167
0.159614	0.068802	0.271808	0.22019
0.983617	0.194829	0.352819	0.215215
0.396495	0.107031	0.395405	0.350226
0.498782	0.108456	0.372627	0.352385
0.76244	0.521941	0.516741	0.122303
0.899218	0.492825	0.251611	0.0767472
0.218802	0.103237	0.441949	0.10893
0.157541	0.0711506	0.320318	0.172111
0.205184	0.167811	0.032869	0.0245557
0.450272	0.167288	0.173534	0.118177
0.542586	0.305871	0.221354	0.08986
0.384615	0.367401	0.0389179	0.0290231
0.155302	0.0942221	0.279125	0.113845
1	1	0.157541	0.0711506
0.211986	0.122517	0.158516	0.10624
0.455861	0.407394	0.610595	0.125265
0.979796	0.630765	0.216114	0.0472189
0.69915	0.198516	0.251838	0.145305
0.994987	0.662061	0.152781	0.0633635
0.163054	0.103264	0.228817	0.0614643
0.972801	0.194907	0.327829	0.163596
0.874995	0.49424	0.225985	0.0716645
0.285193	0.127908	0.103186	0.113405
0.157541	0.0711506	0.322195	0.172111
0.159614	0.110671	0.0300531	0.0423429
