Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
0.771307	0.215105	0.517869	0.299793
0.678451	0.252192	0.493222	0.161599
0.558456	0.301487	0.488291	0.164097
0.831766	0.398606	0.577082	0.343169
0.922226	0.553285	0.592874	0.405019
0.571495	0.150141	0.281208	0.773931
0.464357	0.257472	0.45153	0.197188
0.560464	0.399879	0.582591	0.425875
0.772285	0.418032	0.568614	0.1781
0.813239	0.562007	0.643355	0.146696
1	0.578682	0.568887	0.209355
0.67941	0.530397	0.58452	0.558662
0.710346	0.257472	0.499373	0.382135
0.445816	0.521988	0.391554	0.888406
0.721046	0.263615	0.446658	0.685692
0.536105	0.203808	0.0910545	0.296168
0.93103	0.351113	0.512957	0.16083
0.594033	0.206617	0.420832	0.333748
0.93792	0.320932	0.564766	0.337896
0.591871	0.249549	0.401051	0.798567
0.761802	0.349161	0.536721	0.197831
0.67285	0.248742	0.444828	0.196927
0.942329	0.226788	0.504164	0.561441
0.631061	0.254296	0.550121	0.695907
0.894539	0.471125	0.599357	0.177431
0.47453	0.183295	0.17989	0.561982
0.5078	0.318838	0.531812	0.483262
0.600213	0.298228	0.359928	0.196374
0.821788	0.449475	0.576094	0.143421
0.633149	0.212749	0.278822	0.617509
0.569812	0.170781	0.0630626	0.122177
0.672909	0.257472	0.561149	0.185619
0.643851	0.149357	0.197267	0.601934
0.848135	0.320931	0.470177	0.515018
0.564193	0.178672	0.235132	0.740219
0.539586	0.145743	0.222652	0.575318
0.767624	0.363195	0.606093	0.208434
0.595245	0.446706	0.392971	0.200911
0.567488	0.196803	0.245395	0.614706
0.556561	0.241374	0.281373	0.675603
0.551682	0.166176	0.297016	0.714563
0.989743	0.497715	0.502812	0.132497
0.678451	0.329328	0.454877	0.224003
0.5813	0.169054	0.207115	0.681828
0.946163	0.58329	0.637659	0.166291
0.584346	0.394305	0.423946	0.820822
0.575339	0.150029	0.248591	0.646337
0.652003	0.151285	0.150007	0.516193
0.731901	0.784596	0.518588	0.167905
0.866025	0.784596	0.873268	0.229526
0.761056	0.288063	0.593968	0.613629
0.598589	0.136502	0.0680003	0.251331
0.869716	0.245071	0.583412	0.266844
0.530033	0.226554	0.45451	0.6631
0.620001	0.253102	0.514967	0.585199
0.690541	0.374974	0.496413	0.311366
0.903508	0.778494	0.619616	0.250908
0.650936	0.321167	0.593736	0.177913
0.587087	0.440769	0.312411	0.189556
0.768922	0.162435	0.371294	0.519732
0.537266	0.521913	0.504538	0.696627
0.762648	0.306211	0.637481	0.406735
0.515079	0.653661	0.154083	0.172462
0.932529	0.511707	0.600377	0.146333
1	1	0.937999	0.360056
0.831479	0.417212	0.430034	0.154785
0.930446	0.417212	0.584754	0.189765
0.960961	0.510296	0.563349	0.156755
0.942329	0.226788	0.504164	0.561441
0.802481	0.187484	0.454634	0.533164
0.678451	0.252192	0.493222	0.161599
0.546343	0.19558	0.331133	0.724856
0.830789	0.398116	0.522935	0.224342
0.858712	0.216922	0.505106	0.203351
0.44597	0.276124	0.46476	0.537755
0.689892	0.166608	0.418146	0.719754
0.603759	0.165741	0.334463	0.694772
0.659056	0.291236	0.441318	0.428015
0.644006	0.178579	0.307896	0.721935
0.770126	0.351899	0.636727	0.136879
0.516803	0.260719	0.483448	0.307322
0.571061	0.220438	0.321078	0.771635
0.543376	0.279979	0.379224	0.245551
0.926239	0.405865	0.655337	0.35461
0.554736	0.546856	0.664495	0.251691
0.813617	0.406173	0.521149	0.208958
0.561342	0.139086	0.0579159	0.351651
0.883864	0.233499	0.619261	0.61922
0.570364	0.186974	0.269587	0.751431
0.503959	0.517441	0.375242	0.146787
0.806889	0.222633	0.427299	0.725006
0.407562	0.17961	0.263652	0.666993
0.614879	0.212176	0.320628	0.688505
0.977027	0.437272	0.602696	0.126378
0.817237	0.405291	0.573914	0.508927
0.285652	0.252973	0.139582	0.183045
0.798048	0.252079	0.588026	0.390885
0.609623	0.537316	0.684074	0.229693
0.76463	0.269775	0.412225	0.676385
0.458123	0.320618	0.322599	0.159427
0.984664	0.409839	0.50293	0.220511
0.64728	0.232138	0.607205	0.535068
0.567689	0.378311	0.418571	0.20097
0.775467	0.282839	0.559901	0.263955
0.745356	0.631549	0.727357	0.537748
0.941145	0.601553	0.61553	0.137153
0.583035	0.144221	0.224902	0.538946
0.513718	0.196273	0.432109	0.757544
0.977522	0.488718	0.601517	0.147882
0.393359	0.152126	0.283043	0.281163
0.825984	0.58329	0.622559	0.148081
0.853761	1	0.772705	0.158513
0.8639	0.413304	0.593666	0.155473
0.562033	0.202136	0.061062	0.238121
0.574117	0.257472	0.49373	0.228996
0.820366	0.393453	0.580931	0.200933
0.68655	0.162672	0.328088	0.644082
0.652004	0.302195	0.530733	0.576995
0.527001	0.174536	0.416425	0.54116
0.425918	0.570001	0.10835	0.135437
