Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
0.957838	0.172334	0.355951	0.0562343
0.661438	0.723468	0.232747	0.0959423
0.235679	0.122804	0.209743	0.0557745
0.223589	0.110146	0.333776	0.072368
0.941912	0.199693	0.37252	0.119813
0.901909	0.230073	0.35948	0.051986
1	0.902582	0.459756	0.0709879
0.418338	0.135733	0.339548	0.190387
0.870278	0.295527	0.316274	0.0739303
0.803502	0.248028	0.39041	0.0739294
0.470588	0.159514	0.273986	0.0551479
0.27467	0.139948	0.37417	0.0622584
0.542965	0.105868	0.303662	0.110448
0.946301	0.432737	0.375252	0.0545426
0.303864	0.0500512	0.486992	0.38391
0.941912	0.199693	0.37252	0.119813
0.559611	0.117796	0.363147	0.151168
0.502015	0.192332	0.347224	0.0778692
0.419224	0.0681346	0.205343	0.400873
0.510885	0.244624	0.32587	0.0508876
0.406571	0.0666415	0.415118	0.238257
0.298133	0.0809684	0.36381	0.0725845
0.587206	0.157048	0.322794	0.0537056
0.731871	0.096632	0.381291	0.139291
0.446998	0.0930601	0.203512	0.0824311
0.536647	0.128104	0.329223	0.0776007
0.605469	0.173931	0.341429	0.0759494
0.206907	0.0732416	0.142766	0.0704827
0.437976	0.246446	0.391214	0.0956951
0.470142	0.185987	0.300175	0.0900398
0.766266	0.0967458	0.362358	0.263891
0.446998	0.0930601	0.203512	0.0824311
0.502139	0.145331	0.437046	0.0569247
0.814425	0.260938	0.294198	0.057185
0.566074	0.130443	0.357567	0.16443
0.797755	0.127164	0.294054	0.0805798
0.583917	0.157861	0.198035	0.0480618
0.312175	0.0750715	0.219935	0.223456
0.866025	0.744484	0.302689	0.0528208
0.453297	0.286132	0.32714	0.0600824
0.749013	0.335388	0.364278	0.0563287
0.614624	0.11246	0.26257	0.107625
0.929273	0.109947	0.391175	0.19404
0.329954	0.0787268	0.19437	0.507094
0.973633	0.22933	0.424454	0.154881
0.915742	0.39984	0.318074	0.0666343
0.446594	0.451316	0.432138	0.108659
0.987179	0.281316	0.336467	0.0848469
0.699854	0.408057	0.302582	0.0751947
0.530517	0.112617	0.383929	0.10882
0.735207	0.358753	0.300576	0.0446831
0.235679	0.195141	0.0629405	0.029023
0.347985	0.322631	0.101468	0.034364
0.498888	0.527564	0.0686866	0.0359679
0.740095	0.111675	0.450056	0.171454
0.896747	0.129554	0.312168	0.141229
1	1	0.982992	0.392337
0.983332	0.434351	0.344317	0.0721468
0.745356	0.381152	0.27006	0.0455739
0.218802	0.100033	0.350093	0.0847719
0.585376	0.226791	0.475109	0.0805209
0.965795	0.141008	0.323836	0.0863046
0.87835	0.591361	0.31947	0.0571294
0.695434	0.117227	0.424635	0.176669
0.267437	0.1239	0.262031	0.137481
0.532939	0.550503	0.0558866	0.0320399
0.974321	0.191419	0.36345	0.104728
0.223589	0.176209	0.0434571	0.0356906
0.178938	0.0744697	0.359719	0.0777849
0.551168	0.173701	0.234565	0.0810561
0.267217	0.138812	0.394285	0.0679477
0.351762	0.0512759	0.303826	0.52273
0.315134	0.0912498	0.26445	0.214118
0.866025	0.866025	0.883709	0.21537
0.518508	0.159984	0.193938	0.0569551
0.806628	0.376716	0.472133	0.0568254
0.372084	0.100506	0.37333	0.115994
0.450799	0.217855	0.540358	0.0860012
0.218802	0.100033	0.411777	0.084772
0.685741	0.101321	0.353611	0.212499
0.352994	0.109186	0.317379	0.159882
0.986013	0.653871	0.629296	0.0674686
0.968246	0.682558	0.348427	0.0674701
0.377705	0.205599	0.114701	0.0520573
0.293259	0.0662246	0.351396	0.100535
0.218802	0.110146	0.438325	0.072368
0.593723	0.0914922	0.425644	0.30901
0.872545	0.297373	0.331008	0.0725451
0.895818	0.124543	0.319519	0.100568
0.320737	0.0792751	0.209949	0.107121
0.765721	0.189537	0.408146	0.0481257
0.681498	0.416074	0.150377	0.0405583
0.498888	0.527564	0.0702145	0.0359679
0.628539	0.608543	0.341086	0.0744106
0.264804	0.0664532	0.401712	0.159516
0.223589	0.110146	0.120133	0.0749416
0.969284	0.142343	0.371945	0.0784141
0.223589	0.100033	0.159934	0.0905233
1	0.295832	0.265157	0.0419897
0.94587	0.21642	0.329248	0.0518785
0.243356	0.0755745	0.257496	0.0722217
0.498888	0.58576	0.0895556	0.0343019
0.622988	0.203515	0.518619	0.0734274
0.4532	0.0743264	0.449093	0.557013
0.178938	0.0744697	0.359719	0.0777849
0.294613	0.0702189	0.20709	0.415227
0.966746	0.14012	0.320506	0.0758007
0.620107	0.123385	0.327362	0.0572601
0.223589	0.100033	0.326134	0.0842009
0.30273	0.1103	0.319904	0.0616431
1	0.207362	0.328734	0.0785417
0.383872	0.160308	0.28233	0.0837004
0.264237	0.0457786	0.297113	0.266767
0.537874	0.112207	0.299355	0.106942
0.833084	0.23351	0.314097	0.0843117
1	0.28743	0.336467	0.0848468
0.51609	0.0909412	0.389959	0.569095
0.361575	0.0592304	0.282045	0.268403
0.827166	0.0861553	0.356966	0.298254
0.682285	0.168428	0.429622	0.107992
0.453538	0.13198	0.200832	0.0701851
0.191952	0.118316	0.151074	0.0951587
0.958333	0.835347	0.331621	0.0583868
0.94587	0.21642	0.329248	0.0518785
0.875649	0.34041	0.409299	0.0577637
0.6	0.471125	0.448843	0.076054
0.362235	0.0819997	0.225287	0.490049
0.881349	0.197625	0.289137	0.0643185
0.176169	0.05878	0.0870419	0.0883951
0.694406	0.214731	0.282011	0.0623699
0.6	0.471125	0.387122	0.0777291
0.218802	0.110146	0.5126	0.072368
0.317556	0.0675942	0.254325	0.541236
0.963633	0.113786	0.426676	0.159318
0.188951	0.0580685	0.249778	0.268746
0.328435	0.0454816	0.401263	0.774142
0.470008	0.109958	0.398114	0.151952
0.96	0.502262	0.278979	0.0525337
0.896747	0.129554	0.312168	0.141229
0.372084	0.158901	0.342931	0.0950665
0.941912	0.199693	0.37252	0.119813
0.952207	0.236667	0.3945	0.076079
0.364334	0.141454	0.525813	0.0611746
0.738483	0.116126	0.393553	0.126088
0.492533	0.112706	0.43223	0.0748544
0.964006	0.157774	0.299134	0.083042
0.642689	0.132253	0.361524	0.107667
0.724873	0.165521	0.378903	0.0878582
0.24011	0.122916	0.49949	0.0634518
0.523581	0.0951494	0.381125	0.205649
0.498888	0.355177	0.389992	0.0698814
0.929586	0.324931	0.42924	0.0582304
0.343133	0.0547545	0.283081	0.691858
0.909059	0.40323	0.494354	0.0442381
0.223589	0.176209	0.043131	0.0356906
0.987179	0.281316	0.336467	0.0848469
0.515007	0.2695	0.174637	0.0670189
0.916515	0.796928	0.195634	0.0482605
0.227539	0.0402673	0.226468	0.199224
0.964841	0.644722	0.398616	0.0493482
0.987179	0.281316	0.336467	0.0848469
0.192079	0.0591874	0.399786	0.0814444
0.968246	0.872971	0.281052	0.0893878
0.79179	0.123551	0.273062	0.0642609
0.419673	0.0671389	0.343826	0.289357
0.875216	0.273373	0.343006	0.0708201
0.995859	0.666103	0.459165	0.096115
0.413542	0.176393	0.481002	0.0742574
0.628539	0.522083	0.225702	0.0395894
0.642771	0.666103	0.625549	0.11546
0.355084	0.0934464	0.508072	0.186382
0.181812	0.0727884	0.133815	0.0809176
0.6	0.660385	0.339748	0.0464998
1	0.793701	0.222286	0.135733
0.534889	0.58206	0.634893	0.063285
1	1	0.223589	0.109253
0.463967	0.116039	0.285738	0.0934509
1	1	0.979416	0.150996
0.715562	0.539277	0.367257	0.0629584
0.897342	0.126938	0.396124	0.103814
0.582164	0.0783791	0.330191	0.297764
0.373731	0.15777	0.289521	0.0748775
0.942809	0.494497	0.484515	0.0845534
0.384084	0.0969216	0.448292	0.0725784
0.294508	0.0825494	0.421666	0.144153
0.178938	0.125703	0.329381	0.0747763
0.941912	0.199693	0.37252	0.119813
0.946301	0.432737	0.375252	0.0545426
0.327819	0.0779087	0.142278	0.349304
0.218802	0.110146	0.438325	0.072368
0.532939	0.388788	0.713946	0.0740196
0.454981	0.119734	0.316698	0.10951
0.91282	0.188651	0.252267	0.0759143
0.454642	0.0867687	0.343236	0.186968
0.915816	0.256139	0.332151	0.0564854
0.983341	0.399854	0.428262	0.0701949
0.484123	0.405501	0.12537	0.0430934
0.197304	0.06061	0.224002	0.143249
0.330311	0.0504956	0.300108	0.542246
0.805072	0.263042	0.402773	0.0648473
0.944713	0.11142	0.387078	0.114025
0.57496	0.667049	0.155184	0.0368294
0.964006	0.157774	0.299134	0.083042
0.976426	0.172077	0.346182	0.0603934
0.45078	0.0796861	0.423231	0.142486
0.941912	0.199693	0.37252	0.119813
0.792345	0.200044	0.364642	0.055027
0.429674	0.122279	0.422658	0.102973
0.965795	0.141008	0.323836	0.0863046
0.332856	0.0605553	0.364847	0.78677
0.645502	0.539473	0.23197	0.0598019
0.304142	0.0888947	0.451314	0.0998878
0.218802	0.100033	0.350093	0.084772
0.333197	0.26541	0.335295	0.0817097
0.178938	0.125703	0.329381	0.0747763
0.178938	0.0744697	0.217512	0.0777849
1	1	0.961172	0.228144
0.896747	0.129554	0.312168	0.141229
0.351097	0.0754044	0.38858	0.106137
0.27467	0.141454	0.175424	0.0637873
0.181812	0.0740938	0.224393	0.0879346
1	1	0.268216	0.0849612
0.218802	0.100033	0.411777	0.0847719
0.470588	0.117044	0.316877	0.0618055
0.957256	0.494601	0.284951	0.0450525
0.899795	0.165628	0.306068	0.0835813
0.919723	0.171118	0.393309	0.0991126
0.57092	0.160376	0.320533	0.170821
0.791005	0.449871	0.343518	0.0718443
0.328423	0.0621141	0.426218	0.275771
0.178938	0.0744697	0.359719	0.0777849
0.979796	0.494172	0.46961	0.0799235
0.392667	0.0785528	0.385151	0.170535
0.243405	0.0618007	0.191254	0.271952
0.618643	0.0733112	0.421934	0.357083
0.517963	0.12485	0.39588	0.0866801
0.178938	0.125703	0.130549	0.0555713
0.93615	0.096913	0.355706	0.124531
0.820743	0.0961807	0.345603	0.247744
0.963633	0.113786	0.426676	0.159318
0.76244	0.467026	0.23448	0.0573792
0.384615	0.2953	0.247363	0.0752206
0.611389	0.456133	0.215092	0.0516457
0.218802	0.100033	0.0650491	0.0847719
0.43589	0.304034	0.460172	0.0588665
0.441387	0.0627819	0.352949	0.167107
0.519377	0.191185	0.237235	0.0560675
0.267217	0.133701	0.323342	0.0570229
0.93615	0.096913	0.355706	0.124531
1	1	1	0.172791
0.580176	0.226198	0.297999	0.0499721
1	1	0.919813	0.198228
0.788511	0.0849794	0.40371	0.39904
0.968246	0.94211	0.38662	0.0885903
0.716863	0.473651	0.181532	0.0425013
1	1	0.960226	0.460438
0.678419	0.161267	0.407773	0.0570287
0.987179	0.281316	0.336467	0.0848469
0.27467	0.22837	0.060409	0.0341384
0.730476	0.337628	0.34624	0.0656818
0.178938	0.0744697	0.359719	0.0777849
0.704185	0.310548	0.235223	0.0472964
0.579977	0.108098	0.334042	0.126885
0.588783	0.0885801	0.393896	0.207253
0.218802	0.110146	0.5126	0.072368
0.981504	0.149119	0.420295	0.175276
0.954549	0.163868	0.347743	0.0978048
0.682124	0.1205	0.465165	0.108606
0.303909	0.173329	0.248763	0.0787542
1	1	0.694727	0.15416
0.661975	0.0809853	0.267526	0.160821
0.3152	0.0606774	0.384842	0.655356
0.334332	0.203381	0.54539	0.0662731
0.931925	0.366127	0.329881	0.0706088
0.391918	0.419737	0.14674	0.0614902
0.89259	0.670835	0.391295	0.0554391
0.896747	0.129554	0.312168	0.141229
0.386247	0.0986497	0.557976	0.614802
0.235679	0.123882	0.197447	0.0549012
0.941912	0.199693	0.37252	0.119813
0.657562	0.252408	0.28432	0.058587
0.459107	0.100506	0.425627	0.110962
0.267217	0.139072	0.114143	0.053212
0.941912	0.199693	0.37252	0.119813
0.745356	0.778644	0.308296	0.0618991
0.745356	0.743197	0.104995	0.113673
0.866025	0.820571	0.292683	0.0594842
0.941912	0.199693	0.37252	0.119813
0.436331	0.080374	0.474795	0.31339
0.336569	0.0659192	0.197122	0.543508
0.914399	0.118095	0.39239	0.295696
0.391918	0.2695	0.379768	0.0615482
0.223589	0.109253	0.360543	0.0863874
0.914138	0.176493	0.295199	0.059849
0.306207	0.0741445	0.461372	0.0939694
0.941912	0.199693	0.37252	0.119813
0.866025	0.916486	0.0918421	0.0536367
0.181812	0.074076	0.360979	0.0901573
0.991597	0.170671	0.33096	0.079506
0.496694	0.106534	0.246011	0.0987508
0.957838	0.172334	0.355951	0.0562343
0.383206	0.0685375	0.239134	0.218521
0.583647	0.156549	0.295905	0.0783707
0.553434	0.284823	0.156606	0.0576913
0.944713	0.11142	0.387078	0.114025
0.333197	0.202907	0.613743	0.0865162
0.517785	0.228566	0.416832	0.0747477
0.981504	0.149119	0.420295	0.175276
0.874304	0.137887	0.443776	0.147273
0.833644	0.209629	0.286171	0.0466625
0.880114	0.40684	0.410403	0.0610329
