Backbone Accessibility h=2	Merged Accessibility h=2	Backbone Accessibility h=3	Merged Accessibility h=3
1	1	0.979796	0.979796
0.6	0.471125	0.646404	0.201615
0.949091	0.388235	0.436119	0.242409
0.5761	0.579372	0.216661	0.16456
0.255902	0.279567	0.332398	0.135897
0.324324	0.212182	0.706368	0.212813
0.359011	0.246913	0.428473	0.210615
0.438371	0.375177	0.211643	0.1951
0.6	0.624512	0.121202	0.119925
0.381048	0.400578	0.246819	0.111261
0.895806	0.685669	0.449693	0.312875
0.808274	0.846352	0.351801	0.169566
1	1	0.916603	0.426232
0.883083	0.428723	0.425204	0.271953
0.942809	0.942809	0.839818	0.765525
0.253424	0.251042	0.173105	0.148919
1	1	0.996522	0.8781
0.356814	0.140291	0.308145	0.59256
0.324324	0.238339	0.601168	0.165704
0.866025	0.866025	0.212542	0.214605
0.374931	0.344809	0.43818	0.0983824
0.820652	0.820652	0.498512	0.271914
0.97928	0.4298	0.393096	0.207582
0.399653	0.404876	0.109121	0.105742
0.195686	0.168737	0.0857933	0.155947
0.621435	0.993197	0.210339	0.0887978
0.888616	0.844813	0.428481	0.145095
0.296194	0.142387	0.469659	0.538557
0.946238	0.833333	0.507384	0.253047
0.324324	0.332368	0.14206	0.131945
1	1	0.866025	0.866025
0.324324	0.212182	0.706368	0.212813
0.638695	0.576148	0.395484	0.179798
0.920563	0.379589	0.466482	0.299453
0.352452	0.168346	0.274107	0.601183
0.879014	0.879014	0.604752	0.138257
0.420503	0.41383	0.328606	0.189334
0.973009	0.906831	0.315416	0.153463
0.735851	0.677494	0.494221	0.119694
0.57496	0.615791	0.497894	0.171583
0.471687	0.319602	0.278766	0.336043
0.957917	0.807757	0.590825	0.306286
0.750252	0.397135	0.304112	0.175887
0.540256	0.614506	0.383932	0.133149
0.6	0.61725	0.187167	0.113967
0.396172	0.240901	0.407052	0.455562
0.260339	0.155889	0.467265	0.547172
0.979796	0.877383	0.398264	0.327527
0.532939	0.544946	0.463338	0.161168
1	1	0.750252	0.748181
1	0.516469	0.488533	0.31214
0.638971	0.432541	0.354395	0.140265
0.856944	0.664742	0.22985	0.184322
0.399653	0.404876	0.113068	0.108996
0.638695	0.510182	0.413656	0.147932
0.484077	0.354515	0.257133	0.219466
0.646649	0.630923	0.312663	0.268859
0.430661	0.359229	0.255282	0.12022
1	0.870551	0.495644	0.137002
0.846798	0.735958	0.474177	0.134657
0.942809	1	0.434423	0.279418
0.729285	0.77708	0.498005	0.185254
0.267703	0.167885	0.207543	0.567636
0.920563	0.379589	0.466482	0.299453
0.419765	0.482813	0.43525	0.289369
0.866025	0.793701	0.559654	0.227335
0.788015	0.546235	0.40807	0.180625
0.260339	0.175965	0.152088	0.369335
0.886562	0.400917	0.400689	0.257327
0.359011	0.246913	0.155349	0.222218
0.907053	0.532528	0.426515	0.0998429
0.968246	0.928513	0.463466	0.253113
0.324324	0.212182	0.706368	0.212813
0.920563	0.423007	0.469333	0.338874
1	1	0.399653	0.305871
0.392053	0.196642	0.260111	0.275231
1	1	0.866025	0.866025
0.588218	0.511117	0.510534	0.182201
0.485043	0.307805	0.29701	0.472572
0.64099	0.220819	0.365749	0.506285
0.699854	0.685814	0.73037	0.18318
0.942809	0.942809	0.18318	0.133928
1	1	0.745356	0.745356
0.399653	0.305871	0.479964	0.170391
0.745356	0.692073	0.40974	0.254057
0.605369	0.237813	0.381354	0.454036
0.880505	0.856483	0.629112	0.216867
0.828771	0.324248	0.539492	0.278033
0.5448	0.174153	0.59821	0.296262
0.654095	0.379571	0.446546	0.532446
0.867291	0.613833	0.33946	0.17645
0.704348	0.648474	0.218873	0.0861391
1	1	0.344351	0.289306
0.495459	0.210115	0.314327	0.407874
0.49077	0.236792	0.301739	0.528773
0.440595	0.354828	0.367444	0.560827
0.866025	1	0.257054	0.167067
0.428105	0.151163	0.309261	0.365683
0.778288	0.496666	0.586788	0.17597
0.572938	0.748501	0.497876	0.16215
0.866025	0.628539	0.435858	0.235374
0.431299	0.16308	0.503743	0.53512
1	1	0.253424	0.216185
0.391694	0.40763	0.230418	0.111547
1	1	0.380995	0.332338
0.920563	0.379589	0.466482	0.299453
0.344351	0.289306	0.72116	0.261324
0.537681	0.561817	0.521238	0.25403
1	1	0.524314	0.37705
0.588218	0.316332	0.60696	0.213958
0.866025	0.866025	0.293803	0.310973
0.300017	0.195953	0.437916	0.367855
0.32683	0.203571	0.44354	0.565809
0.556512	0.490592	0.475339	0.220106
0.359011	0.374073	0.0999246	0.15345
0.364597	0.330577	0.131842	0.134116
0.745356	0.778644	0.101637	0.122832
0.982019	0.458282	0.449593	0.30287
0.260339	0.253952	0.0855213	0.119975
0.9276	0.752181	0.435609	0.188235
1	1	0.552771	0.266309
1	1	0.312715	0.323358
0.904623	0.852887	0.437533	0.221995
0.552771	0.552771	0.191967	0.138867
0.954539	0.300999	0.512667	0.506769
0.687804	0.446818	0.221668	0.189584
0.348199	0.379183	0.219465	0.0946587
0.866025	0.916486	0.355192	0.149229
0.359011	0.246913	0.428473	0.210615
0.745356	0.631549	0.518849	0.355924
0.541803	0.339798	0.485245	0.189071
0.839006	0.591756	0.58472	0.177043
0.286819	0.297574	0.200034	0.226341
0.260339	0.180376	0.256152	0.348983
0.994987	0.620909	0.471488	0.453981
0.894677	0.489838	0.474627	0.349741
0.745946	0.546125	0.367471	0.320692
0.428558	0.238723	0.259002	0.178684
0.747674	0.602294	0.229112	0.191979
0.866025	0.871914	0.357899	0.119146
0.506266	0.309563	0.531315	0.387527
0.534889	0.489653	0.54743	0.293932
0.854948	0.922348	0.372863	0.178568
0.399653	0.305871	0.152453	0.167185
1	1	0.515079	0.552358
0.457925	0.359113	0.340803	0.117431
0.380995	0.332338	0.215046	0.176762
0.866025	0.793701	0.681882	0.320738
0.57496	0.435275	0.231975	0.425288
0.396288	0.168548	0.285194	0.590051
0.745356	0.778644	0.196652	0.135432
0.638637	0.668472	0.235144	0.27821
0.569255	0.133273	0.406517	0.590551
0.8	0.8	0.500976	0.351736
0.318469	0.427126	0.177926	0.234053
0.278148	0.24834	0.428348	0.334782
1	1	0.359011	0.374073
0.946238	0.833333	0.507384	0.253047
0.745356	0.758537	0.370485	0.238179
0.359011	0.374073	0.200737	0.133231
0.655925	0.342918	0.418607	0.246204
0.359011	0.239776	0.536743	0.214677
0.880056	0.387926	0.478698	0.612045
0.324324	0.332368	0.450873	0.204981
0.552771	0.552771	0.18699	0.174958
0.758069	0.254814	0.40724	0.316005
0.988343	0.541022	0.512297	0.201706
0.359011	0.374073	0.0991776	0.0953796
0.839154	0.6632	0.477792	0.163719
1	1	0.453808	0.240077
0.745356	0.745356	0.444366	0.513853
1	1	0.866025	0.866025
0.554585	0.317929	0.482996	0.177353
0.402066	0.22831	0.308234	0.199833
0.440473	0.20744	0.270099	0.229598
0.745356	0.745356	0.470933	0.548501
0.992157	0.66568	0.396084	0.243404
0.515079	0.552358	0.16942	0.217507
1	1	0.916603	0.426232
0.432747	0.193033	0.387745	0.690217
0.934046	0.661931	0.315391	0.21446
0.942809	0.942809	0.458261	0.503696
0.8	0.840896	0.28163	0.297903
0.600768	0.278659	0.328379	0.267956
0.407862	0.338191	0.243389	0.230758
0.39711	0.213165	0.428362	0.489144
0.532939	0.212251	0.576778	0.178231
1	1	0.682558	0.742751
0.65846	0.525474	0.222512	0.131134
0.942809	0.942809	0.362585	0.317921
0.253424	0.180376	0.439883	0.35727
0.260339	0.253952	0.086599	0.12285
0.62931	0.160196	0.508282	0.510192
0.994987	0.571975	0.412166	0.279048
0.572207	0.315131	0.258766	0.296579
0.260339	0.180376	0.481238	0.35727
0.609507	0.673575	0.667377	0.322983
0.942809	0.877383	0.665184	0.528299
0.896003	0.40537	0.427545	0.213322
0.552771	0.584781	0.182585	0.111449
0.942809	0.942809	0.406109	0.31786
0.866025	0.866025	0.396399	0.363186
0.97922	0.686588	0.461309	0.231003
0.407862	0.437093	0.0818026	0.0578485
0.638971	0.568675	0.24082	0.146414
1	1	1	1
0.388345	0.350801	0.214456	0.223043
1	0.516469	0.488533	0.31214
0.958315	0.812193	0.354005	0.0974194
0.260339	0.180376	0.481238	0.35727
0.597532	0.412724	0.362546	0.190958
0.961024	0.961024	0.47758	0.248587
0.358509	0.17424	0.339707	0.608961
0.260339	0.155889	0.467265	0.547172
0.590499	0.566869	0.444423	0.15228
0.866025	0.866025	0.182306	0.152538
0.2811	0.284006	0.300322	0.261835
0.359011	0.374073	0.0991776	0.151976
0.998866	0.59071	0.374082	0.209889
0.409428	0.339419	0.27405	0.134015
0.399653	0.404876	0.112328	0.0639614
0.782076	0.447305	0.397391	0.213105
1	0.847499	0.481514	0.334821
1	1	0.6	0.624512
0.552771	0.515686	0.643632	0.512527
0.295414	0.176165	0.10383	0.402135
1	1	0.820652	0.79155
0.589745	0.56121	0.51487	0.189608
1	1	0.532939	0.544946
1	1	0.903508	0.640282
0.954539	0.300999	0.512667	0.506769
1	1	1	1
0.467253	0.26659	0.352978	0.236815
0.357359	0.202965	0.364501	0.449969
0.322806	0.158766	0.247846	0.495312
0.968246	0.78905	0.310806	0.202836
0.407862	0.437093	0.0818026	0.0578484
0.344351	0.246913	0.732348	0.210615
1	1	0.661438	0.661438
0.458123	0.452289	0.222163	0.190243
1	1	0.983642	0.884582
1	1	0.359011	0.274199
0.767959	0.472308	0.453742	0.207165
0.62123	0.432541	0.465733	0.174963
0.696543	0.68461	0.351972	0.135875
0.619346	0.481089	0.286408	0.212266
0.394452	0.254003	0.369941	0.576649
0.515079	0.552358	0.16942	0.136578
0.981577	0.493473	0.485828	0.282603
0.866025	0.866025	0.571263	0.386219
0.835595	0.75313	0.392839	0.116742
0.5683	0.395362	0.44429	0.238058
0.253424	0.216185	0.42989	0.298861
0.894869	0.415989	0.380158	0.208136
0.682558	0.682558	0.732625	0.250913
0.483319	0.789536	0.339223	0.243671
0.552771	0.552771	0.707096	0.264798
0.661438	0.661438	0.217555	0.183137
0.359011	0.36418	0.100069	0.218805
0.8	0.731432	0.463196	0.381189
0.344351	0.246913	0.253618	0.210615
1	1	0.649923	0.573599
0.920563	0.379589	0.466482	0.299453
0.934046	0.661931	0.315391	0.21446
0.586794	0.39531	0.298934	0.25568
0.866025	0.866025	0.182306	0.20288
0.952441	1	0.611027	0.407619
0.260339	0.155889	0.467265	0.547172
0.866025	0.916486	0.537341	0.26162
0.498888	0.401794	0.340717	0.540607
1	1	0.428105	0.247646
0.552771	0.584781	0.187429	0.111449
0.260339	0.253952	0.0865734	0.123566
0.380439	0.131631	0.446328	0.482101
0.866025	0.866025	0.493628	0.530724
0.435308	0.259545	0.496172	0.288669
0.920563	0.379589	0.466482	0.299453
0.324324	0.29759	0.199845	0.0760527
0.405992	0.423305	0.126151	0.120894
0.767959	0.472308	0.453742	0.207165
0.359011	0.274199	0.45769	0.290644
0.513159	0.364482	0.242481	0.149818
1	1	0.993808	0.871466
0.920563	0.379589	0.466482	0.299453
0.494872	0.503027	0.261938	0.163047
1	0.894457	0.427349	0.171706
0.281032	0.212511	0.472718	0.434201
0.324324	0.332368	0.396068	0.0872326
0.526361	0.556297	0.229441	0.136363
1	1	0.253424	0.180376
0.708329	0.64768	0.355612	0.136898
0.576352	0.256572	0.571914	0.204851
0.745356	0.745356	0.470933	0.383267
0.7607	0.330009	0.413803	0.335289
1	0.516469	0.488533	0.31214
