Unnamed: 0,name,label,sub_class,num_words,words
cj01,cj01,informative,learned,2189,introduction it have recently become practical to use the radio emission of the moon and planet a a new source of information about these body and their atmosphere the result of present observation of the thermal radio emission of the moon be consistent with the very low thermal conductivity of the surface layer which be derive from the variation in the infrared emission during eclipse e g garstung when sufficiently accurate and complete measurement be available it will be possible to set limit on the thermal and electrical characteristic of the surface and subsurface material of the moon observation of the radio emission of a planet which have an extensive atmosphere will probe the atmosphere to a great extent than those use short wave length and should in some case give otherwise unobtainable information about the characteristic of the solid surface radio observation of venus and jupiter have already supply unexpected experimental data on the physical condition of these planet the observe intensity of the radio emission of venus be much high than the expect thermal intensity although the spectrum indicate by measurement at wave length near cm and cm be like that of a black body at about degree this result suggest a very high temperature at the solid surface of the planet although there be the possibility that the observe radiation may be a combination of both thermal and non thermal component and that the observe spectrum be that of a black body merely by coincidence for the case of jupiter the radio emission spectrum be definitely not like the spectrum of a black body radiator and it seem very likely that the radiation reach the earth be a combination of thermal radiation from the atmosphere and non thermal component of the remain planet only mar and saturn have be observe a radio source and not very much information be available mar have be observe twice at about cm wave length and the intensity of the observe radiation be in reasonable agreement with the thermal radiation which might be predict on the basis of the know temperature of mar the low intensity of the radiation from saturn have limit observation but again the measure radiation seem to be consistent with a thermal origin no attempt to measure the radio emission of the remain planet have be report and because of their distance small diameter or low temperature the thermal radiation at radio wave length reach the earth from these source be expect to be of very low intensity in spite of this the very large radio reflector and improve amplify technique which be now become available should make it possible to observe the radio emission of most of the planet in a few year the study of the radio emission of the moon and planet begin with the detection of the thermal radiation of the moon at cm wave length by dicke and beringer this be follow by a comprehensive series of observation of the cm emission of the moon over three lunar cycle by piddington and minnett they deduce from their measurement that the radio emission from the whole disk of the moon vary during a lunation in a roughly sinusoidal fashion that the amplitude of the variation be considerably less than the amplitude of the variation in the infrared emission a measure by pettit and nicholson and pettit and that the maximum of the radio emission come about day after full moon which be again in contrast to the infrared emission which reach it maximum at full moon piddington and minnett explain their observation by point out that rocklike material which be likely to make up the surface of the moon would be partially transparent to radio wave although opaque to infrared radiation the infrared emission could then be assume to originate at the surface of the moon while the radio emission originate at some depth beneath the surface where the temperature variation due to solar radiation be reduce in amplitude and shift in phase since the absorption of radio wave in rocklike material vary with wave length it should be possible to sample the temperature variation at different depth beneath the surface and possibly detect change in the structure or composition of the lunar surface material the radio emission of a planet be first detect in when burke and franklin identify the origin of interference like radio noise on their record at about meter wave length a emission from jupiter this sporadic type of planetary radiation be discuss by burke chap and gallet chap steady radiation which be presumably of thermal origin be observe from venus at and cm and from mar and jupiter at cm in mayer mccullough and sloanaker a b c and from saturn at cm in drake and ewen in the relatively short time since these early observation venus have be observe at additional wave length in the range from to cm and jupiter have be observe over the wave length range from to aj the observable characteristic of planetary radio radiation be the intensity the polarization and the direction of arrival of the wave the maximum angular diameter of any planetary disk a observe from the earth be about minute of arc this be much small than the high resolution of even the very large reflector now under construction and consequently the radio emission of different region of the disk can not be resolve it should be possible however to put useful limit on the diameter of the radio source by observe with large reflector or with interferometer measurement of polarization be presently limit by apparatus sensitivity and will remain difficult because of the low intensity of the planetary radiation at the earth there have be few measurement specifically for the determination of the polarization of planetary radiation the measurement make with the nrl foot reflector which be altitude azimuth mount would have show a systematic change with local hour angle in the measure intensity of venus and jupiter if a substantial part of the radiation have be linearly polarize recent interferometer measurement radhakrishnan and robert have show the mc emission of jupiter to be partially polarize and to originate in a region of large diameter than the visible disk other than this very significant result most of the information now available about the radio emission of the planet be restrict to the intensity of the radiation the concept of apparent black body temperature be use to describe the radiation receive from the moon and the planet the receive radiation be compare with the radiation from a hypothetical black body which subtend the same solid angle a the visible disk of the planet the apparent black body disk temperature be the temperature which must be assume for the black body in order that the intensity of it radiation should equal that of the observe radiation the use of this concept do not specify the origin of the radiation and only if the planet really radiate a a black body will the apparent black body temperature correspond to the physical temperature of the emit material the radio radiation of the sun which be reflect from the moon and planet should be negligible compare with their thermal emission at centimeter wave length except possibly at time of exceptional outburst of solar radio noise the quiescent level of centimeter wave length solar radiation would increase the average disk brightness temperature by less than degree at meter wave length an increase of the order of degree in the average disk temperature of the near planet would be expect therefore neglect the extreme outburst reflect solar radiation be not expect to cause sizable error in the measurement of planetary radiation in the centimeter and decimeter wave length range the moon observation radio observation of the moon have be make over the range of wave length from mm to cm and the result be summarize in table observation have also be make at mm use optical technique sinton see also chap not all the observer have use the same procedure or make the same assumption about the lunar brightness distribution when reduce the data and this together with difference in the method of calibrate the antenna and receiver must account for much of the disagreement in the measure radio brightness temperature in the observation at mm coat the diameter of the antenna beam be small enough to allow resolution of some of the large feature of the lunar surface and contour diagram have be make of the lunar brightness distribution at three lunar phase these observation indicate that the lunar maria heat up more rapidly and also cool off more rapidly than do the mountainous region mare imbrium seem to be an exception and remain cooler than the region which surround it these contour diagram also suggest a rather rapid falloff in the radio brightness with latitude very recently observation have be make at mm wave length with a reflector meter in diameter with a resultant beam width of only about amenitskii noskova and salomonovich the constant temperature contour be much smooth than those observe at mm by coat and apparently the emission at mm be not nearly so sensitive to difference in surface feature such high resolution observation a these be need at several wave length in order that the radio emission of the moon can be properly interpret the observation of mayer mccullough and sloanaker at cm and of sloanaker at cm have not previously be publish and will be briefly describe measurement at cm be obtain on day spread over the interval may to june use the foot reflector at the u s naval research laboratory in washington the half intensity diameter of the antenna beam be about and the angle subtend by the moon include the entire main beam and part of the first side lobe the antenna pattern and the power gain at the peak of the beam be both measure mayer mccullough and sloanaker so that the absolute power sensitivity of the antenna beam over the solid angle of the moon be know the ratio of the measure antenna temperature change during a drift scan across the moon to the average brightness temperature of the moon over the antenna beam assume that the brightness temperature of the sky be negligible be find by graphical integration of the antenna directivity diagram to be the measure brightness temperature be a good approximation to the brightness temperature at the center of the lunar disk because of the narrow antenna beam and because the temperature distribution over the central portion of the moon s disk be nearly uniform the result of the observation be af where the phase angle q be measure in degree from new moon and the probable error include absolute a well a relative error this result be plot along with the mm observation of gibson in figure a the variation in the cm emission of the moon during a lunation be very much less than the variation in the mm emission a would be expect from the explanation of piddington and minnett in the discussion which follow the time average of the radio emission will be refer to a the constant component and the superimpose periodic variation will be call the variable component the cm observation of sloanaker be make on may use the foot reflector at the maryland point observatory of the u s naval research laboratory the age of the moon be about day the half intensity diameter of the main lobe of the antenna be about and the brightness temperature be reduce by assume a gaussian shape for the antenna beam and a uniformly bright disk for the moon
cj02,cj02,informative,learned,2182,abstract experiment be make on an electric arc apply a porous graphite anode cool by a transpire gas argon thus the energy transfer from the arc to the anode be partly feed back into the arc it be show that by proper anode design the net energy loss of the arc to the anode could be reduce to approximately of the total arc energy a detail energy balance of the anode be establish the anode ablation could be reduce to a negligible amount the dependence of the arc voltage upon the mass flow velocity of the transpirate gas be investigate for various arc length and current between amp and aj qualitative observation be make and high speed motion picture be take to study flow phenomenon in the arc at various mass flow velocity introduction the high heat flux exist at the electrode surface of electric arc necessitate extensive cool to prevent electrode ablation the cool requirement be particularly severe at the anode in free burn electric arc for instance approximately of the total arc power be transfer to the anode give rise to local heat flux in excess of af a measure by the author the exact value depend on the arc atmosphere in plasma generator a currently commercially available for industrial use or a high temperature research tool often more than of the total energy input be be transfer to the cool medium of the anode the high heat transfer rat at the anode compare with those at the cathode can be explain by the physical phenomenon occur in free burn arc in plasma generator the superimpose force convection may modify the picture somewhat the heat transfer to the anode be due to the follow effect heat of condensation work function plus kinetic energy of the electron impinge on the anode this energy transfer depend on the current the temperature in the arc column the anode material and the condition in the anode sheath heat transfer by molecular conduction a well a by radiation from the arc column the heat transfer to the anode in free burn arc be enhance by a hot gas jet flow from the cathode towards the anode with velocity up af this phenomenon have be experimentally investigate in detail by maecker ref the pressure gradient produce the jet be due to the nature of the magnetic field in the arc rapid decrease of current density from cathode to the anode hence the flow condition at the anode of free burn arc resemble those near a stagnation point it be apparent from the above and from experimental evidence that the cool requirement for the anode of free burn arc be large compare with those for the cathode the gas flow through a plasma generator will modify these condition however the anode be still the part receive the large heat flux an attempt to improve the life of the anode or the efficiency of the plasma generator must therefore aim at a reduction of the anode loss the follow possibility exist for achieve this the use of high voltage and low current by proper design to reduce electron heat transfer to the anode for a give power output continuous motion of the arc contact area at the anode by flow or magnetic force feedback of the energy transfer to the anode by apply gas transpiration through the anode the third method be to our knowledge successfully apply for the first time by c sheer and co worker ref the purpose of the present study be to study the thermal condition and to establish an energy balance for a transpiration cool anode a well a the effect of blow on the arc voltage gas injection through a porous anode transpiration cool not only feed back the energy transfer to the anode by the above mention process but also modify the condition in the arc itself a detail study of this latter phenomenon be not attempt in this paper argon be use a a blow gas to exclude any effect of dissociation or chemical reaction the anode material be porous graphite sinter porous metal should be usable in principle however technical difficulty arise by melt at local hot spot the experimental arrangement a describe below be base on the geometry of free burn arc thus direct comparison can be draw with free burn arc which have be study in detail during the past year and decade by numerous investigator ref experimental apparatus figure to show photographic and schematic view of the test stand and of two different model of the anode holder the cathode consist of a diameter thoriate tungsten rod attach to a water cool copper tube this tube could be adjust in it axial direction by an electric drive to establish the require electrode spacing the anode in figure be mount by mean of the anode holder which be attach to a steel plug and disk the transpire gas eject from the anode form a jet direct axially towards the cathode below inflow of air from the surround atmosphere be prevent by the two disk show in figure argon be also blow at low velocity mass flow rate af through a tube coaxial with the cathode a an additional precaution against contamination of the arc by air the anode consist of a inch diameter porous graphite plug inch long the graphite be national carbon nc which have a porosity of and an average pore size of this small pore size be require to ensure uniformity of the flow leave the anode the anode plug figure be insert into a carbon anode holder a shield thermocouple be use to measure the upstream temperature of the transpire gas it be expose to a high velocity gas jet a plug and a tube with hole in it cylindrical wall divide the chamber above the porous plug into two part this arrangement have the purpose to prevent heat gas to reach the thermocouple by natural convection two pyrometer show in figure and pyrometer instrument co model serve for simultaneous measurement of the anode surface temperature and the temperature distribution along the anode holder three thermocouple be place at different location in the aluminum disk surround the anode holder to determine it temperature another anode holder use in the experiment be show in figure in this design the anode holder be water cool and the heat loss by conduction from the anode be determine by measure the temperature rise of the coolant to reduce heat transfer from the hot gas to this anode holder outside the regime of the arc a carbon shield be attach to the surface provide an air gap of inch between the plate and the surface of the anode holder in addition the inner surface of the carbon shield be cover with aluminum foil to reduce radiation temperature of the shield and of the surface of the water cool anode holder be measure by thermocouple to account for heat receive by the coolant but not originate from the anode plug the argon flow from commercial bottle be regulate by a pressure regulator and measure with a gas flow rator the power source be a commercial d c rectifier at amp the cycle ripple be less than v peak to peak with a resistive load the current be regulate by mean of a variable resistor and measure with a mv shunt and millivoltmeter the arc voltage be measure with a voltmeter whose terminal be connect to the anode and cathode holder because of the fall characteristic of the rectifier no ballast resistor be require for stability of operation a high frequency starter be use to start the arc experimental procedure and error analysis transpiration cool anode with carbon anode holder the anode holder show in figure be design with two goal in mind the heat loss of the holder be to be reduce a far a possible and they should be such that an accurate heat balance can be make in order to reduce the number of variable parameter all experiment be make with a constant arc length of and a current of aj the argon flow through the porous anode be vary systematically between af and af the lower limit be determine by the fact that for small flow rat the arc start to strike to the anode holder instead of to the porous graphite plug and that it become highly unstable the upper limit be determine by the difficulty of measure the characteristic anode surface temperature see below since only a small region of the anode be strike by the arc this region which have a high temperature than the rest of the anode surface change size and location continuously for each mass flow rate the arc voltage be measure to measure the surface temperature of the anode plug the surface be scan with a pyrometer a it turn out a very hot region occur on the plug it temperature be denote by af the size of this hot region be estimate by eye the rest of the surface have a temperature which decrease towards the out diameter of the plug the mean temperature of this region be approximate by the temperature measure halfways between the edge of the hot spot and the rim of the plug it be denote by af the mean temperature of the surface be then compute accord to the follow relation af where x be the fraction of the plug area cover by the hot spot assume thermal equilibrium between the anode surface and the transpire argon the gas enthalpy rise through the anode be calculate accord to the relation af whereby the specific heat of argon be take a af this calculation result in an enthalpy rise which be somewhat high because it assume a mass flow equally distribute over the plug cross section whereas in reality the mass velocity be expect to be small in the region of high temperature the upstream gas temperature measure with the thermocouple show in figure be af the af value be list in table together with the measure surface temperature and arc voltage simultaneously with the anode surface temperature and voltage measurement pyrometer read be take along the cylindrical surface of the carbon anode holder a indicate on figure some of these temperature be plot in figure they show no mark dependence on the flow rate within the accuracy of these measurement thus the dot line show in figure be take a typical for the temperature distribution for all blow rat the thermocouple in the aluminum disk show in figure indicate an equilibrium temperature of the surface of af this temperature be take a environmental temperature to which the anode holder be expose a far a radiation be concern it be sufficiently small compare with the surface temperature of the anode holder to make the energy flux radiate from the environment toward the anode holder negligible within the accuracy of the present measurement the reflection of radiation originate from the anode holder and reflect back to it by the surround metal surface should also be small because of the peculiar characteristic of the metal surface and of the specific geometry the total heat loss through the anode holder include also the heat conduct through the base of the cylindrical piece into the adjacent metal part it be calculate from the temperature gradient af at af inch a af the total heat flux from the porous plug into the plug holder be thereby af the temperature distribution of figure give af for all blow rat assume af the temperature dependent value of ye be take from ref the radiation loss from the anode surface be compute accord to af where af be the mean of the fourth power of the temperature af and af calculate analogously to equation
cj03,cj03,informative,learned,2205,a band viscometer be show in figure it consist of two block with flat surface hold apart by shim there be a small well in the top in which the fluid or paste to be test be place a tape of cellulose acetate be pull between the block and the tape pull the fluid or paste with it between the parallel face of the block in normal use weight be hang on the end of the tape and allow to pull the tape and the material to be test between the block after it have reach terminal velocity the time for the tape to travel a know distance be record by the use of various weight data for a force rate of shear graph can be obtain the instrument use for this work be a slight modification of that previously describe in this test a af tape be pull between the block with a motor and pulley at a rate of af with a clearance of on each side of the tape this give a rate of shear of af this however can only be consider approximate a the diameter of the pulley be increase by the build up of tape and the tape be occasionally remove from the pulley during the run the face of one block contain a hole in diameter which lead to a manometer for the measurement of the normal pressure although there be only four fluid test it be apparent that there be two distinct type two of the fluid show a high positive normal pressure when undergo shear and two show small negative pressure which be negligible in comparison with the amount of the positive pressure generate by the other two figure show the data on a silicone fluid label cps which give a high positive normal pressure although the tape be run for over hr a steady state be not reach and it be conclude that the reason for this be that the back pressure of the manometer be build up from the material feed from between the block and this be available at a very slow rate a system have to be use which do not depend upon the feed of the fluid into the manometer if measurement of the normal pressure be to be make in a reasonable time a back pressure be then introduce and the rise or fall of the material in the manometer indicate which be great the normal pressure in the block or the back pressure by this method it be determine that the normal pressure exert by a sample of polybutene molecular weight report to be be over half an atmosphere the actual pressure be not determine because the pressure be beyond the upper limit of the apparatus on hand the two fluid which give the small negative pressure be polybutene with molecular weight which be state to be and these be fluid which one would expect to be less viscoelastic or more newtonian because of their lower molecular weight the maximum suction be of test fluid measure from the top of the block and steady state be apparently reach with these fluid it be presume that this negative head be associate with some geometric factor of the assembly since different read be obtain with the same fluid and the only apparent difference be the assembly and disassembly of the apparatus this negative pressure be not explain by the velocity head af since this be not sufficient to explain the read by several magnitude these experiment can be consider exploratory only however they do demonstrate the presence of large normal pressure in the presence of flat shear field which be forecast by the theory in the first part of the paper they also give information which will aid in the design of a more satisfactory instrument for the measurement of the normal pressure such an instrument would be useful for the characterization of many commercial material a well a theoretical study the elasticity be a parameter of fluid which be not subject to simple measurement at present and it be a parameter which be probably vary in an unknown manner with many commercial material such an instrument be expect to be especially useful if it could be use to measure the elasticity of heavy paste such a printing ink paint adhesive melt plastic and bread dough for the elasticity be relate to those various property term length shortness spinnability etc which be usually judge by subjective method at present the actual change af cause by a shear field be calculate by multiply the pressure differential time the volume just a it be for any gravitational or osmotic pressure head if the volume be the molal volume then af be obtain on a molal basis which be the customary terminology of the chemist although the af calculation be obvious by analogy with that for gravitational field and osmotic pressure it be interest to confirm it by a method which can be generalize to include relate effect consider a shear field with a height of h and a cross sectional area of a oppose by a manometer with a height of h refer to the same base a h and a cross sectional area of a if af be the change per unit volume in gibbs function cause by the shear field at constant p and t and yr be the density of the fluid then the total potential energy of the system above the reference height be af af be the work necessary to fill the manometer column from the reference height to h the total volume of the system above the reference height be af and h can be eliminate to obtain an equation for the total potential energy of the system in term of h the minimum total potential energy be find by take the derivative with respect to h and equate to zero this give af which be the pressure this be interest for it combine both the thermodynamic concept of a minimum gibbs function for equilibrium and minimum mechanical potential energy for equilibrium this method can be extend to include the concentration difference cause by shear field the relation between osmotic pressure and the gibbs function may also be develop in an analogous way in the above development we have apply the thermodynamics of equilibrium refer to by some a thermostatics to the steady state this can be justify thermodynamically in this case and this will be do in a separate paper which be be prepare this have an interest analogy with the assumption state by philippoff that the deformational mechanic of elastic solid can be apply to flow solution there be one exception to the above statement a have be point out and that be that fluid can relax by flow into field of lower rat of shear so the statement should be modify by state that the mechanic be similar if the mechanic be similar we can also infer that the thermodynamics will also be similar the concept of the strain energy a a gibbs function difference af and exert a force normal to the shear face be compatible with the information obtain from optical birefringence study of fluid undergo shear essentially these birefringence study show that at low rat of shear a tension be present at degree to the direction of shear and a the rate of shear increase the direction of the maximum tension move asymptotically toward the direction of shear accord to philippoff the recoverable shear s be give by af where yc be the angle of extinction from this and the force of deformation it should be possible to calculate the elastic energy of deformation which should be equal to the af calculate from the pressure normal to the shear face there be another mean which should show the direction and relative value of the stress in viscoelastic fluid that be not mention a such in the literature and that be the shape of the suspend drop of low viscosity fluid in shear field these droplet be distort by the normal force just a a balloon would be pull or press out of shape in one s hand these droplet appear to be ellipsoid and it be mathematically convenient to assume that they be if they be not ellipsoid the conclusion will be a reasonable approximation the direction of the tension of minimum pressure be of course give by the direction of the major axis of the ellipsoid mason and taylor both show that the major axis of the ellipsoid be at degree at low rat of shear and that it approach the direction of shear with increase rat of shear some suspension break up before they be near to the direction of shear and some become asymptotic to it without breakup this be of course a similar type of behavior to that indicate by birefringence study the relative force can be calculate from the various radius of curvature if we assume a the surface tension be uniform on the surface of the drop b that because of the low viscosity of the fluid the internal pressure be the same in all direction c the kinetic effect be negligible d since the shape of the drop conform to the force field it do not appreciably affect the distribution of force in the fluid these be reasonable assumption with low viscosity fluid suspend in high viscosity fluid which be subject to low rat of shear just a the pressure exert by surface tension in a spherical drop be af and the pressure exert by surface tension on a cylindrical shape be af the pressure exert by any curve surface be af where yg be the interfacial tension and af and af be the two radius of curvature this formula be give by rumscheidt and mason if a be the major axis of an ellipsoid and b and c be the other two ax the radius of curvature in the ab plane at the end of the axis af and the difference in pressure along the a and b ax be af there be no data publish in the literature on the shape of low viscosity drop to confirm the above formula however there be photograph of suspend drop of cyclohexanol phthalate viscosity poise suspend in corn syrup of poise in a paper by mason and bartok this viscosity of the material in the drop be of course not negligible measurement on the photograph in this paper give af at the maximum rate of shear of af if it be assume that the formula give by lodge of cosec af apply the pressure difference along the major ax can be calculate from the angle of inclination of the major axis and from this the interfacial tension can be calculate it value be af from the above data this appear to be high a would be expect from the appreciable viscosity of the material in the drop it be appropriate to call attention to certain thermodynamic property of an ideal gas that be analogous to rubber like deformation the internal energy of an ideal gas depend on temperature only and be independent of pressure or volume in other word if an ideal gas be compress and keep at constant temperature the work do in compress it be completely convert into heat and transfer to the surround heat sink this mean that work equal q which in turn equal af there be a well know relationship between probability and entropy which state that af where zq be the probability that state i e volume for an ideal gas could be reach by chance alone this be know a conformational entropy this conformational entropy be in this case equal to the usual entropy for there be no other change or other energy involve note that though the ideal gas itself contain no additional energy the compress gas do exert an increase pressure the energy for any isothermal work do by the perfect gas must come a thermal energy from it surround
cj04,cj04,informative,learned,2334,a proton magnetic resonance study of polycrystalline af a a function of magnetic field and temperature be present af be paramagnetic and electron paramagnetic dipole a well a nuclear dipole effect lead to line broaden the line be asymmetric and over the range of field af gauss and temperature af the asymmetry increase with increase af and decrease t an isotropic resonance shift of af to lower apply field indicate a weak isotropic hyperfine contact interaction the general theory of resonance shift be use to derive a general expression for the second moment af of a polycrystalline paramagnetic sample and be specialize to af the theory predict a linear dependence of af on af where j be the experimentally determine curie wei constant the experimental second moment af conform to the relation af in agreement with theory hence the electron paramagnetic effect slope can be separate from the nuclear effect intercept the paramagnetic dipole effect provide some information on the particle shape the nuclear dipole effect provide some information on the motion of the hydrogen nucleus but the symmetry of the af bond in af remain in doubt introduction the magnetic moment of an unpaired electron associate nearby may have a tremendous influence on the magnetic resonance property of nucleus it be important to consider and experimentally verify this influence since quantitative nuclear resonance be become increasingly use in investigation of structure af appear to be well suit for the study of these matter since it be a normal paramagnet with three unpaired electron on the chromium it crystal structure be very simple and the unknown position of the hydrogen in the strong af bond provide structural interest we first discus the af bond in af we then outline the theory of the interaction of paramagnetic dipole with nucleus and show that the theory be in excellent agreement with experiment indeed it be possible to separate electron paramagnetic from nuclear effect the information provide by the electron paramagnetic effect be then discuss and finally the nuclear effect be interpret in term of various motional modify model of the af bond in af af bond in af theoretical study of the hydrogen bond generally agree that the af bond will be linear in the absence of peculiarity of pack in the solid moreover it will be asymmetric until a certain critical af distance be reach below which it will become symmetric there be ample evidence from many source that the af bond in af be symmetric the af distance in af be aj there be evidence though less convince than for af that the af bond in nickel dimethylglyoxime be symmetric here the af distance be aj a number of semiempirical estimate by various worker lead to the conclusion that the af bond become symmetric when the af bond length be about to a but aside from the possible example of nickel dimethylglyoxime there have be no convince report of symmetric af bond douglas have study the crystal structure of af by x ray diffraction he find the structure contain an af bond with the af distance of af there be then the possibility that this af bond be symmetric although douglas be unable to determine it symmetry from his x ray data douglas find af to be trigonal laue symmetry af with af af x ray and experimental density show one formula unit in the unit cell correspond to a paramagnetic ion density of af the x ray data do not permit douglas to determine uniquely the space group but a negative test for piezoelectricity lead him to assume a center of symmetry under this assumption the space group must be af and the follow be the position of the atom in the unit cell af this space group require the hydrogen bond to be symmetric douglas find powder intensity calculation and measurement to agree best for af these data lead to a structure in which sheet of cr atom lie between two sheet of o atom the o atom in each sheet be close pack and each cr atom be surround by a distort octahedron of o atom the af layer be stack normal to the axis with the lower oxygen of one layer directly above the upper oxygen of the neighbor lower layer in such a manner that the repeat be every three layer the separate layer be join together by hydrogen bond a draw of the structure be to be find in reference the gross detail of the structure appear reasonable the structure appear to be unique among ooh compound but be the same a that assume by af the bond angle and distance be all within the expect limit and the volume per oxygen be about normal however the possible absence of a center of symmetry not only move the hydrogen atom off af but also allow the oxygen atom to become nonequivalent with af at af and af at af space group af where af represent the oxygen on one side of the af layer and af those on the other side however any oxygen nonequivalence would shorten either the already extremely short af interlayer distance of a or the non hydrogen bond af interlayer interaction which be already quite short at aj hence it be difficult to conceive of a pack of the atom in this material in which the oxygen atom be far from geometrical equivalence the only effect of lack of a center would then be to release the hydrogen atom to occupy general rather than special position along the axis if the af bond be linear then there be three reasonable position for the hydrogen atom the hydrogen atom be center and hence all lie on a sheet midway between the oxygen sheet all hydrogen atom lie on a sheet but the sheet be close to one oxygen sheet than to the other hydrogen atom be asymmetrically place either randomly or in an order way so that some hydrogen atom be close to the upper oxygen atom while others be close to the lower oxygen atom position appear to u to be unlikely in view of the absence of a piezoelectric effect and on general chemical structural ground a randomization of up and down be more likely than order up and down in position since the hydrogen atom be well separate and so the position of one could hardly affect the position of another and also since order up and down imply a large unit cell for which no evidence exist therefore the only unknown structural feature would appear to be whether the hydrogen atom be locate symmetrically or asymmetrically experimental procedure sample douglas prepare his sample of af by thermal decomposition of aqueous chromic acid at degree c dr douglas be kind enough to lend u about gram of his material this material prove to be unsatisfactory since we could not obtain reproducible result on various portion of the sample subsequently we learn from douglas that his sample contain a few percent af impurity since af be ferromagnetic we felt that any result obtain from the magnetically contaminate af would be suspect plane suggest another preparation of af which we use here ml of m aqueous af with af add be heat in a bomb at degree c for hour a very fine gray solid about g be form water wash by centrifugation and dry at degree c differential thermal analysis show a very small endothermic reaction at degree c and a large endothermic reaction at degree c this latter reaction be in accord with the report decomposition of af thermogravimetric analysis show a weight loss of center at degree c and another weight loss of at degree c the expect weight loss for af go to af and af be mass spectrometric analysis of gas evolve upon heat to degree c indicate nitrogen oxide and water vapor the small reaction occur at degree c be probably cause by decomposition of occlude nitrate and perhaps by a small amount of some hydrous material other than af all subsequent measurement be make on material which have be heat to degree c for one hour emission spectrum indicate af calcium and all other impurity much lower chromium analysis give cr a compare with theory however af adsorb water from the atmosphere and this may account for the low chromium analysis and high total weight loss the x ray diffraction pattern of the material take with cuk ya radiation indicate the presence of no extra line and be in good agreement with the pattern of douglas magnetic analysis by r g meisenheimer of this laboratory indicate no ferromagnetic impurity af be find to be paramagnetic with three unpaired electron per chromium atom and a molecular susceptibility of af where af for exactly three unpaired electron the coefficient would be an infrared spectrum obtain by h a benesi and r g snyder of this laboratory show band in the position find by jones electron microscopic examination of the af sample show it to be compose of nearly isotropic particle about m in diameter the particle appear rough and undoubtedly the single crystal domain be small than this the x ray data be consistent with particle size of a or great we find no obvious effect due to prefer orientation of the crystallite in this sample nor would we expect to on the basis of the shape find from electron microscopic examination nuclear magnetic resonance nmr measurement the magnetic resonance absorption be detect by employ a varian model af broad line spectrometer and the associate inch electromagnet system one measurement at mc sec be obtain with the varian model af unit a bridge t type of bridge be use in the mc sec range the rf power level be maintain small enough at all time to prevent obvious line shape distortion by saturation effect a modulation frequency of cps with an amplitude a small a possible commensurate with reasonably good signal to noise quality be use background spectrum be obtain in all case the spectrometer be adjust to minimize the amount of dispersion mode mix in with the absorption signal a single value of the thermal relaxation time af at room temperature be measure by the progressive saturation method the value of af estimate at gauss be af microsecond a single measurement of the spin spin relaxation time af be obtain at mc sec by pulse method this measurement be obtain by w blumberg of the university of california berkeley by observe the breadth of the free induction decay signal the value derive be microsecond field shift be derive from the mean value of the resonance line define a the field about which the first moment be zero second moment of the spectrum be compute by numerical integration correction be apply for modulation broaden apparatus background and field shift spectrum be obtain over the temperature range of degree k for the low temperature measurement the sample be cool by a cold nitrogen gas flow method similar to that of andrew and eades the temperature be maintain to within about af for the period of time require to make the measurement usually about one hour one sample which have be expose to the atmosphere after evacuation at degree c show the presence of adsorb water about wt a evidence by a weak resonance line which be very narrow at room temperature and which disappear due to broaden at low temperature the data report here be either from spectrum from which the adsorb water resonance could easily be eliminate or from spectrum of sample evacuate and seal off at degree c which contain no adsorb water the measure powder density of the af use here be about af approximately one third that of the crystal density af such a density correspond to a paramagnetic ion density of about af spectrum be obtain from a powder sample have the shape of a right circular cylinder with a height to diameter ratio of the top of the sample be nearly flat and the bottom hemispherical spectrum be also obtain from a sample in a spherical container which be make by blow a bubble on the end of a capillary glass tube the bubble be fill to the top and special precaution be take to prevent any sample from remain in the capillary spectrum be also obtain from a third sample of af which have be dilute to three time it original volume with powder anhydrous alundum af this sample be contain in a cylindrical container similar to that describe above
