30.0(+/-16.96) 47.5(+/-9.35) 30.0(+/-6.12) 70.0(+/-10.0) 
27.5(+/-16.58) 50.0(+/-7.91) 27.5(+/-9.35) 70.0(+/-10.0) 
17.5(+/-12.75) 52.5(+/-9.35) 27.5(+/-14.58) 70.0(+/-10.0) 
22.5(+/-16.58) 57.5(+/-10.0) 25.0(+/-7.91) 70.0(+/-10.0) 
30.0(+/-10.0) 50.0(+/-7.91) 32.5(+/-12.75) 70.0(+/-10.0) 
37.5(+/-22.36) 50.0(+/-7.91) 32.5(+/-10.0) 70.0(+/-10.0) 
27.5(+/-24.24) 50.0(+/-13.69) 32.5(+/-10.0) 70.0(+/-10.0) 
30.0(+/-21.79) 47.5(+/-16.58) 32.5(+/-10.0) 70.0(+/-10.0) 
32.5(+/-12.75) 42.5(+/-12.75) 35.0(+/-12.25) 70.0(+/-10.0) 
35.0(+/-16.58) 47.5(+/-12.25) 35.0(+/-12.25) 70.0(+/-10.0) 
30.0(+/-12.75) 47.5(+/-12.25) 35.0(+/-12.25) 72.5(+/-9.35) 
27.5(+/-9.35) 47.5(+/-12.25) 32.5(+/-10.0) 75.0(+/-13.69) 
20.0(+/-12.75) 50.0(+/-13.69) 35.0(+/-14.58) 77.5(+/-14.58) 
25.0(+/-15.81) 50.0(+/-13.69) 35.0(+/-12.25) 77.5(+/-14.58) 
27.5(+/-9.35) 50.0(+/-13.69) 35.0(+/-12.25) 77.5(+/-14.58) 
17.5(+/-12.75) 50.0(+/-13.69) 32.5(+/-10.0) 75.0(+/-15.81) 
17.5(+/-15.0) 50.0(+/-13.69) 35.0(+/-12.25) 75.0(+/-15.81) 
27.5(+/-16.58) 50.0(+/-13.69) 35.0(+/-12.25) 77.5(+/-14.58) 
30.0(+/-18.71) 47.5(+/-12.25) 35.0(+/-12.25) 75.0(+/-13.69) 
17.5(+/-10.0) 45.0(+/-12.75) 40.0(+/-14.58) 75.0(+/-13.69) 
17.5(+/-10.0) 45.0(+/-12.75) 40.0(+/-14.58) 72.5(+/-14.58) 
