33.33(+/-11.79) 43.75(+/-20.09) 45.83(+/-18.63) 60.42(+/-11.22) 
27.08(+/-16.8) 43.75(+/-23.66) 45.83(+/-17.18) 58.33(+/-9.32) 
39.58(+/-13.34) 37.5(+/-28.87) 43.75(+/-18.75) 58.33(+/-9.32) 
33.33(+/-19.98) 33.33(+/-19.98) 45.83(+/-15.59) 58.33(+/-9.32) 
29.17(+/-15.59) 33.33(+/-24.65) 41.67(+/-9.32) 60.42(+/-13.34) 
37.5(+/-7.22) 29.17(+/-17.18) 41.67(+/-13.82) 60.42(+/-8.59) 
29.17(+/-17.18) 31.25(+/-15.73) 43.75(+/-15.73) 58.33(+/-9.32) 
31.25(+/-13.98) 33.33(+/-13.82) 35.42(+/-16.8) 60.42(+/-8.59) 
25.0(+/-14.43) 31.25(+/-11.97) 41.67(+/-21.25) 60.42(+/-8.59) 
31.25(+/-11.97) 35.42(+/-11.22) 41.67(+/-21.25) 58.33(+/-9.32) 
31.25(+/-11.97) 27.08(+/-11.22) 41.67(+/-18.63) 60.42(+/-8.59) 
29.17(+/-9.32) 27.08(+/-11.22) 41.67(+/-21.25) 58.33(+/-9.32) 
27.08(+/-16.8) 27.08(+/-11.22) 43.75(+/-17.31) 60.42(+/-8.59) 
25.0(+/-12.5) 27.08(+/-16.8) 39.58(+/-16.8) 60.42(+/-8.59) 
35.42(+/-4.66) 27.08(+/-16.8) 43.75(+/-15.73) 56.25(+/-9.55) 
29.17(+/-17.18) 29.17(+/-15.59) 45.83(+/-17.18) 54.17(+/-11.79) 
31.25(+/-13.98) 31.25(+/-15.73) 45.83(+/-21.25) 54.17(+/-11.79) 
27.08(+/-13.34) 29.17(+/-17.18) 43.75(+/-21.35) 52.08(+/-15.17) 
25.0(+/-10.21) 33.33(+/-11.79) 43.75(+/-21.35) 54.17(+/-11.79) 
20.83(+/-9.32) 33.33(+/-11.79) 43.75(+/-21.35) 54.17(+/-11.79) 
25.0(+/-16.14) 37.5(+/-12.5) 43.75(+/-21.35) 54.17(+/-11.79) 
