15.0(+/-9.35) 25.0(+/-11.18) 25.0(+/-11.18) 35.0(+/-5.0) 
15.0(+/-14.58) 25.0(+/-13.69) 22.5(+/-9.35) 37.5(+/-7.91) 
17.5(+/-15.0) 27.5(+/-12.25) 27.5(+/-5.0) 37.5(+/-7.91) 
7.5(+/-10.0) 27.5(+/-12.25) 25.0(+/-7.91) 37.5(+/-7.91) 
17.5(+/-10.0) 27.5(+/-9.35) 22.5(+/-9.35) 40.0(+/-9.35) 
20.0(+/-6.12) 30.0(+/-12.75) 17.5(+/-10.0) 37.5(+/-7.91) 
15.0(+/-12.25) 30.0(+/-12.75) 20.0(+/-6.12) 37.5(+/-11.18) 
25.0(+/-13.69) 30.0(+/-12.75) 20.0(+/-6.12) 35.0(+/-14.58) 
25.0(+/-13.69) 30.0(+/-12.75) 25.0(+/-7.91) 40.0(+/-9.35) 
22.5(+/-9.35) 27.5(+/-14.58) 22.5(+/-5.0) 32.5(+/-12.75) 
20.0(+/-12.75) 27.5(+/-14.58) 27.5(+/-9.35) 35.0(+/-14.58) 
20.0(+/-6.12) 27.5(+/-9.35) 22.5(+/-5.0) 27.5(+/-9.35) 
22.5(+/-14.58) 27.5(+/-9.35) 20.0(+/-6.12) 25.0(+/-11.18) 
22.5(+/-12.25) 25.0(+/-11.18) 17.5(+/-6.12) 25.0(+/-11.18) 
15.0(+/-9.35) 27.5(+/-9.35) 22.5(+/-5.0) 25.0(+/-11.18) 
17.5(+/-16.96) 25.0(+/-11.18) 25.0(+/-7.91) 22.5(+/-9.35) 
15.0(+/-18.37) 22.5(+/-14.58) 25.0(+/-7.91) 22.5(+/-9.35) 
22.5(+/-18.37) 25.0(+/-11.18) 20.0(+/-10.0) 25.0(+/-7.91) 
27.5(+/-12.25) 25.0(+/-11.18) 20.0(+/-10.0) 22.5(+/-9.35) 
25.0(+/-15.81) 22.5(+/-14.58) 17.5(+/-6.12) 25.0(+/-7.91) 
20.0(+/-15.0) 22.5(+/-14.58) 17.5(+/-6.12) 25.0(+/-7.91) 
