84.32(+/-26.96) 90.08(+/-21.64) 90.48(+/-21.34) 91.66(+/-21.11) 
85.32(+/-24.7) 90.28(+/-21.99) 90.08(+/-21.02) 90.68(+/-21.82) 
84.72(+/-25.87) 88.29(+/-23.26) 89.88(+/-21.2) 90.68(+/-21.4) 
83.92(+/-26.52) 88.69(+/-22.68) 89.88(+/-21.28) 91.47(+/-20.32) 
82.54(+/-26.5) 89.28(+/-22.78) 89.68(+/-21.31) 91.86(+/-20.48) 
86.11(+/-25.18) 88.3(+/-24.58) 88.69(+/-22.08) 90.08(+/-22.28) 
85.12(+/-25.3) 88.69(+/-24.28) 88.88(+/-21.92) 90.87(+/-22.49) 
83.53(+/-26.65) 90.28(+/-22.6) 89.48(+/-21.56) 90.68(+/-22.69) 
85.32(+/-24.74) 88.89(+/-24.61) 89.08(+/-21.76) 90.28(+/-22.98) 
82.74(+/-26.87) 89.48(+/-23.5) 89.28(+/-21.58) 89.48(+/-23.08) 
82.54(+/-26.93) 89.88(+/-23.16) 89.28(+/-21.58) 89.49(+/-23.54) 
87.3(+/-23.49) 90.08(+/-22.59) 89.28(+/-21.25) 89.48(+/-23.1) 
86.31(+/-23.82) 90.68(+/-22.15) 88.69(+/-21.94) 89.68(+/-22.45) 
82.74(+/-27.76) 90.68(+/-22.31) 88.29(+/-22.58) 89.88(+/-22.42) 
85.52(+/-25.2) 90.48(+/-21.94) 88.49(+/-22.42) 89.88(+/-23.27) 
85.52(+/-24.15) 90.68(+/-21.78) 88.69(+/-22.34) 89.68(+/-22.45) 
83.14(+/-28.48) 89.68(+/-22.94) 88.49(+/-22.5) 89.28(+/-23.22) 
83.73(+/-27.68) 90.87(+/-21.66) 88.89(+/-21.86) 89.68(+/-22.52) 
85.12(+/-25.7) 90.68(+/-21.82) 89.08(+/-21.76) 89.68(+/-22.94) 
85.32(+/-24.85) 90.08(+/-22.64) 88.69(+/-21.94) 89.28(+/-23.66) 
85.32(+/-25.22) 90.68(+/-21.86) 88.69(+/-21.94) 89.08(+/-24.18) 
