13.54(+/-7.82) 16.46(+/-10.09) 16.88(+/-12.01) 12.71(+/-10.0) 
13.96(+/-11.36) 14.38(+/-10.62) 16.88(+/-12.75) 15.0(+/-10.01) 
14.79(+/-8.98) 13.33(+/-10.62) 16.25(+/-12.28) 12.5(+/-9.92) 
12.29(+/-8.82) 13.96(+/-10.71) 16.88(+/-13.7) 13.33(+/-10.65) 
13.96(+/-10.82) 13.75(+/-10.6) 16.67(+/-13.09) 13.96(+/-11.5) 
11.67(+/-9.25) 14.58(+/-11.41) 17.29(+/-12.56) 12.92(+/-9.58) 
12.5(+/-10.79) 14.79(+/-10.2) 17.08(+/-11.97) 13.54(+/-10.05) 
15.83(+/-12.16) 15.21(+/-8.35) 15.42(+/-12.06) 12.71(+/-10.34) 
12.29(+/-10.54) 13.96(+/-7.78) 16.46(+/-11.37) 12.29(+/-9.14) 
11.88(+/-9.09) 14.38(+/-9.89) 15.83(+/-10.51) 13.13(+/-8.93) 
11.46(+/-9.92) 14.79(+/-9.69) 15.83(+/-11.33) 13.75(+/-10.39) 
13.34(+/-10.0) 14.79(+/-10.51) 15.0(+/-11.5) 13.54(+/-11.36) 
12.92(+/-8.82) 14.17(+/-9.49) 15.83(+/-10.46) 14.17(+/-11.03) 
11.88(+/-10.78) 14.17(+/-9.99) 15.63(+/-10.62) 14.38(+/-12.27) 
10.42(+/-9.29) 13.54(+/-10.09) 17.08(+/-10.67) 14.17(+/-10.94) 
9.79(+/-9.11) 13.13(+/-9.33) 16.46(+/-11.06) 14.38(+/-10.43) 
11.25(+/-9.51) 15.0(+/-9.21) 15.83(+/-10.64) 14.58(+/-10.79) 
9.17(+/-8.62) 15.83(+/-10.05) 15.83(+/-11.39) 16.04(+/-11.52) 
13.96(+/-11.21) 14.38(+/-9.56) 16.04(+/-11.82) 16.25(+/-9.86) 
12.08(+/-8.96) 14.38(+/-9.33) 16.67(+/-12.06) 16.04(+/-10.01) 
16.25(+/-9.84) 16.25(+/-9.01) 17.5(+/-11.86) 14.38(+/-10.55) 
