30.42(+/-13.52) 56.25(+/-14.28) 25.42(+/-11.79) 72.08(+/-12.81) 
32.92(+/-14.67) 56.46(+/-14.22) 24.17(+/-10.86) 72.92(+/-12.62) 
31.88(+/-12.86) 56.67(+/-15.17) 25.62(+/-10.44) 72.92(+/-11.99) 
33.96(+/-12.67) 56.88(+/-14.87) 26.46(+/-10.98) 73.75(+/-12.36) 
32.29(+/-11.89) 55.83(+/-14.85) 25.83(+/-10.88) 72.92(+/-13.39) 
34.17(+/-11.73) 55.21(+/-14.33) 26.04(+/-11.74) 73.54(+/-12.3) 
33.33(+/-12.46) 54.58(+/-15.05) 26.25(+/-11.92) 73.33(+/-12.56) 
31.87(+/-9.92) 54.38(+/-15.07) 26.25(+/-11.63) 74.38(+/-11.38) 
31.25(+/-11.67) 55.42(+/-15.91) 26.87(+/-12.13) 74.17(+/-11.25) 
32.29(+/-10.51) 55.21(+/-15.63) 25.62(+/-11.31) 73.54(+/-11.32) 
32.08(+/-11.61) 54.58(+/-16.58) 26.46(+/-12.5) 74.17(+/-11.02) 
32.92(+/-12.09) 55.42(+/-15.98) 25.83(+/-12.4) 74.17(+/-10.94) 
33.33(+/-12.75) 55.83(+/-16.02) 26.46(+/-12.39) 74.37(+/-11.53) 
34.79(+/-13.11) 56.04(+/-15.89) 25.63(+/-12.91) 74.58(+/-11.14) 
34.38(+/-12.85) 56.04(+/-15.4) 27.08(+/-12.96) 73.54(+/-11.42) 
33.96(+/-13.18) 55.62(+/-15.2) 27.71(+/-12.23) 74.17(+/-10.82) 
33.13(+/-12.71) 55.42(+/-15.22) 27.08(+/-12.22) 73.75(+/-11.03) 
35.62(+/-13.29) 53.75(+/-15.57) 26.67(+/-12.02) 73.54(+/-11.17) 
33.13(+/-13.3) 54.58(+/-15.33) 27.08(+/-12.47) 73.96(+/-11.18) 
32.71(+/-13.85) 55.42(+/-15.48) 27.5(+/-12.82) 73.54(+/-11.54) 
30.83(+/-13.7) 54.37(+/-16.27) 26.25(+/-12.0) 73.75(+/-11.15) 
