14.25(+/-10.13) 18.0(+/-9.26) 17.0(+/-11.59) 22.0(+/-12.09) 
18.75(+/-10.3) 18.5(+/-8.98) 17.5(+/-10.33) 23.0(+/-12.54) 
16.75(+/-10.56) 19.0(+/-9.84) 17.75(+/-10.1) 23.25(+/-12.66) 
17.25(+/-12.31) 18.25(+/-10.64) 18.0(+/-9.61) 23.5(+/-11.44) 
15.25(+/-11.51) 19.0(+/-10.78) 16.25(+/-10.49) 22.75(+/-11.85) 
16.0(+/-11.74) 20.5(+/-10.82) 16.75(+/-10.38) 22.75(+/-12.33) 
15.75(+/-10.53) 20.5(+/-9.99) 16.5(+/-9.76) 23.25(+/-12.72) 
16.5(+/-11.03) 18.5(+/-10.77) 16.5(+/-8.6) 22.75(+/-11.8) 
14.75(+/-10.31) 19.25(+/-10.09) 16.5(+/-8.57) 22.5(+/-11.54) 
15.25(+/-11.47) 20.0(+/-9.89) 15.25(+/-8.44) 22.25(+/-11.1) 
17.0(+/-10.33) 19.75(+/-10.66) 15.75(+/-8.66) 22.0(+/-11.5) 
18.0(+/-9.63) 20.0(+/-9.89) 17.0(+/-9.95) 22.5(+/-10.05) 
15.75(+/-11.17) 22.0(+/-10.68) 17.25(+/-10.43) 23.75(+/-10.23) 
14.5(+/-9.91) 20.25(+/-10.18) 17.5(+/-9.56) 21.75(+/-10.37) 
17.75(+/-11.62) 22.5(+/-10.77) 17.0(+/-9.98) 22.25(+/-10.94) 
15.5(+/-9.71) 19.5(+/-10.2) 18.0(+/-9.39) 22.0(+/-11.09) 
16.75(+/-11.13) 20.5(+/-9.98) 18.75(+/-10.01) 22.5(+/-12.52) 
15.75(+/-10.07) 20.75(+/-9.79) 18.25(+/-9.92) 23.5(+/-12.5) 
15.5(+/-11.53) 20.75(+/-10.9) 18.75(+/-10.38) 23.25(+/-11.64) 
17.25(+/-11.68) 20.0(+/-9.29) 19.0(+/-10.89) 23.0(+/-13.08) 
18.5(+/-11.27) 20.25(+/-10.13) 17.5(+/-10.49) 23.25(+/-12.29) 
