88.1(+/-25.53) 90.87(+/-19.31) 89.29(+/-21.46) 93.25(+/-17.08) 
90.08(+/-22.73) 91.27(+/-18.98) 88.49(+/-21.97) 92.86(+/-17.5) 
90.48(+/-22.46) 91.27(+/-18.98) 88.1(+/-22.21) 92.46(+/-17.89) 
86.9(+/-25.34) 91.67(+/-19.67) 88.1(+/-22.21) 92.46(+/-17.89) 
83.73(+/-28.05) 92.46(+/-18.97) 88.49(+/-21.97) 92.46(+/-17.89) 
87.3(+/-24.35) 92.46(+/-18.97) 88.89(+/-21.72) 92.86(+/-17.5) 
89.68(+/-22.11) 92.86(+/-18.6) 88.1(+/-22.21) 92.86(+/-17.5) 
88.1(+/-24.74) 92.06(+/-20.33) 88.1(+/-22.21) 92.46(+/-17.89) 
90.87(+/-23.91) 92.86(+/-19.63) 88.89(+/-21.72) 92.06(+/-18.27) 
88.49(+/-23.71) 92.46(+/-19.99) 88.49(+/-22.85) 93.25(+/-17.08) 
90.48(+/-20.62) 91.67(+/-20.65) 88.49(+/-22.85) 92.46(+/-17.89) 
87.7(+/-23.3) 91.27(+/-20.97) 88.89(+/-22.62) 91.67(+/-18.63) 
86.9(+/-24.54) 91.27(+/-20.97) 88.49(+/-22.85) 91.27(+/-18.98) 
89.68(+/-22.11) 92.06(+/-20.33) 88.49(+/-22.85) 91.27(+/-18.98) 
89.68(+/-22.11) 90.48(+/-21.56) 88.49(+/-22.85) 92.46(+/-17.89) 
88.49(+/-23.71) 91.27(+/-20.97) 88.49(+/-22.85) 92.06(+/-18.27) 
90.87(+/-21.27) 91.67(+/-20.65) 88.49(+/-22.85) 92.06(+/-18.27) 
88.49(+/-23.71) 92.06(+/-20.33) 88.49(+/-22.85) 91.27(+/-18.98) 
88.89(+/-23.48) 92.06(+/-20.33) 89.29(+/-22.37) 90.48(+/-20.62) 
88.89(+/-23.48) 91.67(+/-20.65) 89.29(+/-22.37) 91.27(+/-20.0) 
88.49(+/-24.53) 91.67(+/-20.65) 89.29(+/-22.37) 91.27(+/-20.0) 
