85.71(+/-25.86) 90.87(+/-22.18) 92.86(+/-18.6) 91.67(+/-20.65) 
88.89(+/-25.11) 91.67(+/-19.67) 91.67(+/-19.67) 92.86(+/-20.62) 
85.32(+/-26.78) 91.67(+/-20.65) 92.06(+/-19.33) 92.06(+/-20.33) 
90.08(+/-21.84) 92.06(+/-21.28) 92.06(+/-19.33) 91.27(+/-21.89) 
88.89(+/-22.62) 91.27(+/-20.97) 91.67(+/-19.67) 89.68(+/-22.11) 
87.7(+/-23.3) 91.27(+/-20.0) 91.67(+/-19.67) 89.29(+/-22.37) 
89.29(+/-22.37) 92.06(+/-19.33) 92.06(+/-19.33) 92.06(+/-19.33) 
88.49(+/-22.85) 92.06(+/-20.33) 91.27(+/-20.0) 90.87(+/-19.31) 
87.3(+/-23.52) 90.87(+/-23.06) 92.06(+/-19.33) 90.08(+/-20.91) 
89.68(+/-22.99) 90.87(+/-23.06) 92.06(+/-19.33) 90.08(+/-19.94) 
89.29(+/-22.37) 91.67(+/-21.59) 91.27(+/-20.0) 88.1(+/-23.93) 
88.1(+/-23.93) 92.86(+/-19.63) 91.27(+/-20.0) 90.48(+/-21.56) 
90.08(+/-21.84) 92.46(+/-19.99) 91.27(+/-20.0) 92.06(+/-20.33) 
89.29(+/-24.08) 91.67(+/-20.65) 91.67(+/-19.67) 89.68(+/-24.65) 
88.1(+/-24.74) 90.87(+/-21.27) 91.67(+/-19.67) 89.29(+/-24.89) 
90.48(+/-21.56) 89.68(+/-23.84) 91.27(+/-20.97) 88.49(+/-26.1) 
90.48(+/-21.56) 91.67(+/-20.65) 91.27(+/-20.97) 89.68(+/-25.45) 
90.08(+/-22.73) 91.27(+/-21.89) 91.67(+/-19.67) 90.08(+/-24.41) 
87.3(+/-24.35) 91.27(+/-20.97) 91.67(+/-19.67) 88.49(+/-26.1) 
91.27(+/-21.89) 91.27(+/-20.97) 91.27(+/-20.97) 88.49(+/-26.85) 
92.06(+/-21.28) 91.67(+/-20.65) 91.27(+/-20.0) 88.1(+/-26.3) 
