18.75(+/-6.25) 18.75(+/-9.55) 31.25(+/-15.73) 20.83(+/-13.82) 
22.92(+/-8.59) 20.83(+/-13.82) 37.5(+/-12.5) 27.08(+/-18.28) 
22.92(+/-13.34) 22.92(+/-11.22) 31.25(+/-11.97) 18.75(+/-13.98) 
22.92(+/-13.34) 20.83(+/-9.32) 27.08(+/-15.17) 25.0(+/-14.43) 
25.0(+/-12.5) 22.92(+/-8.59) 29.17(+/-15.59) 25.0(+/-16.14) 
22.92(+/-4.66) 20.83(+/-9.32) 25.0(+/-16.14) 22.92(+/-13.34) 
25.0(+/-10.21) 25.0(+/-10.21) 29.17(+/-17.18) 27.08(+/-16.8) 
16.67(+/-9.32) 22.92(+/-8.59) 29.17(+/-17.18) 29.17(+/-17.18) 
27.08(+/-13.34) 27.08(+/-8.59) 27.08(+/-16.8) 25.0(+/-16.14) 
22.92(+/-15.17) 22.92(+/-8.59) 27.08(+/-8.59) 29.17(+/-13.82) 
29.17(+/-9.32) 20.83(+/-11.79) 27.08(+/-13.34) 25.0(+/-14.43) 
22.92(+/-15.17) 31.25(+/-15.73) 22.92(+/-16.8) 20.83(+/-15.59) 
22.92(+/-16.8) 31.25(+/-13.98) 22.92(+/-13.34) 27.08(+/-13.34) 
22.92(+/-16.8) 20.83(+/-13.82) 22.92(+/-13.34) 31.25(+/-15.73) 
27.08(+/-15.17) 25.0(+/-12.5) 25.0(+/-12.5) 29.17(+/-9.32) 
25.0(+/-12.5) 20.83(+/-11.79) 27.08(+/-13.34) 31.25(+/-11.97) 
27.08(+/-13.34) 18.75(+/-13.98) 20.83(+/-11.79) 31.25(+/-11.97) 
20.83(+/-5.89) 25.0(+/-7.22) 25.0(+/-10.21) 29.17(+/-11.79) 
18.75(+/-13.98) 27.08(+/-4.66) 22.92(+/-8.59) 25.0(+/-10.21) 
12.5(+/-12.5) 20.83(+/-11.79) 22.92(+/-8.59) 18.75(+/-18.75) 
6.25(+/-6.25) 18.75(+/-11.97) 22.92(+/-8.59) 20.83(+/-18.63) 
