15.0(+/-9.35) 40.0(+/-14.58) 17.5(+/-10.0) 62.5(+/-17.68) 
25.0(+/-7.91) 42.5(+/-10.0) 17.5(+/-6.12) 60.0(+/-16.58) 
17.5(+/-16.96) 40.0(+/-9.35) 15.0(+/-9.35) 60.0(+/-16.58) 
25.0(+/-17.68) 37.5(+/-13.69) 22.5(+/-14.58) 60.0(+/-16.58) 
25.0(+/-17.68) 35.0(+/-14.58) 20.0(+/-12.75) 57.5(+/-16.96) 
25.0(+/-7.91) 30.0(+/-10.0) 20.0(+/-15.0) 60.0(+/-16.58) 
30.0(+/-10.0) 35.0(+/-14.58) 27.5(+/-18.37) 57.5(+/-12.75) 
30.0(+/-12.75) 32.5(+/-12.75) 22.5(+/-16.58) 57.5(+/-12.75) 
32.5(+/-12.75) 32.5(+/-12.75) 22.5(+/-16.58) 55.0(+/-12.75) 
27.5(+/-14.58) 32.5(+/-12.75) 25.0(+/-17.68) 57.5(+/-16.96) 
25.0(+/-11.18) 37.5(+/-15.81) 27.5(+/-18.37) 57.5(+/-16.96) 
20.0(+/-16.96) 40.0(+/-18.37) 25.0(+/-15.81) 55.0(+/-18.71) 
20.0(+/-20.31) 40.0(+/-14.58) 25.0(+/-15.81) 57.5(+/-16.96) 
20.0(+/-20.31) 40.0(+/-16.58) 27.5(+/-18.37) 55.0(+/-18.71) 
17.5(+/-18.71) 37.5(+/-13.69) 25.0(+/-15.81) 55.0(+/-18.71) 
22.5(+/-14.58) 42.5(+/-16.96) 25.0(+/-15.81) 52.5(+/-21.51) 
20.0(+/-12.75) 37.5(+/-13.69) 25.0(+/-15.81) 52.5(+/-21.51) 
22.5(+/-14.58) 42.5(+/-16.96) 25.0(+/-15.81) 55.0(+/-18.71) 
22.5(+/-14.58) 42.5(+/-16.96) 22.5(+/-14.58) 52.5(+/-21.51) 
22.5(+/-14.58) 42.5(+/-16.96) 25.0(+/-15.81) 52.5(+/-21.51) 
30.0(+/-10.0) 42.5(+/-16.96) 25.0(+/-15.81) 50.0(+/-23.72) 
