47.5(+/-17.86) 65.83(+/-14.29) 18.75(+/-9.06) 86.67(+/-9.45) 
45.83(+/-13.7) 66.67(+/-12.58) 19.17(+/-9.32) 87.08(+/-8.61) 
45.42(+/-12.89) 65.83(+/-12.97) 22.5(+/-11.58) 87.5(+/-7.92) 
45.0(+/-15.57) 65.42(+/-14.34) 23.75(+/-11.05) 87.5(+/-8.21) 
44.17(+/-12.5) 65.42(+/-13.57) 23.75(+/-11.16) 85.83(+/-8.31) 
43.33(+/-11.93) 65.84(+/-13.58) 24.58(+/-10.49) 87.08(+/-8.67) 
44.58(+/-14.19) 65.42(+/-14.41) 25.42(+/-9.9) 87.08(+/-8.67) 
45.83(+/-12.94) 65.42(+/-14.28) 25.83(+/-12.11) 85.83(+/-8.91) 
42.5(+/-15.45) 64.17(+/-13.67) 25.83(+/-12.67) 85.83(+/-9.48) 
46.67(+/-13.5) 66.25(+/-15.29) 26.67(+/-11.94) 86.25(+/-10.49) 
45.83(+/-13.19) 66.67(+/-13.18) 26.67(+/-11.25) 86.25(+/-10.49) 
43.33(+/-12.01) 65.83(+/-12.42) 27.5(+/-10.71) 85.83(+/-10.6) 
41.25(+/-14.35) 65.0(+/-12.96) 27.08(+/-10.88) 86.67(+/-9.54) 
41.67(+/-13.06) 64.58(+/-12.47) 27.5(+/-10.48) 86.67(+/-9.54) 
40.42(+/-14.35) 65.0(+/-12.96) 27.5(+/-10.48) 87.08(+/-9.22) 
42.08(+/-15.24) 65.42(+/-14.3) 27.5(+/-10.55) 86.25(+/-9.69) 
41.25(+/-14.16) 64.17(+/-13.01) 26.25(+/-10.71) 85.83(+/-9.07) 
41.66(+/-13.83) 63.33(+/-12.4) 26.25(+/-10.71) 85.0(+/-10.13) 
42.92(+/-13.61) 63.75(+/-11.48) 26.25(+/-11.31) 86.25(+/-8.75) 
42.5(+/-13.81) 63.75(+/-12.14) 27.5(+/-11.25) 86.25(+/-8.39) 
39.58(+/-11.69) 63.33(+/-12.67) 27.5(+/-10.37) 86.25(+/-9.17) 
