78.12(+/-29.78) 86.46(+/-20.92) 17.7(+/-10.27) 80.21(+/-28.54) 
77.09(+/-26.1) 84.38(+/-22.26) 20.84(+/-12.6) 81.25(+/-26.78) 
72.91(+/-30.2) 86.46(+/-20.48) 31.25(+/-10.96) 83.34(+/-23.85) 
79.17(+/-30.76) 85.42(+/-21.87) 19.79(+/-10.64) 79.17(+/-29.46) 
77.09(+/-30.04) 85.42(+/-20.94) 26.04(+/-10.19) 83.33(+/-24.65) 
75.0(+/-29.32) 86.46(+/-20.48) 19.79(+/-11.88) 81.25(+/-27.95) 
81.25(+/-32.4) 89.58(+/-16.73) 17.71(+/-7.9) 80.21(+/-29.48) 
78.12(+/-26.66) 87.5(+/-19.23) 16.66(+/-12.14) 81.25(+/-26.76) 
76.04(+/-32.3) 86.46(+/-21.19) 21.88(+/-11.09) 85.42(+/-21.16) 
78.12(+/-24.79) 86.46(+/-21.19) 21.88(+/-11.02) 84.38(+/-22.26) 
80.21(+/-31.62) 90.62(+/-14.32) 18.75(+/-10.56) 85.42(+/-20.96) 
84.38(+/-32.3) 86.46(+/-19.91) 18.75(+/-9.91) 81.25(+/-26.52) 
83.33(+/-34.64) 86.46(+/-19.27) 22.92(+/-15.81) 88.54(+/-19.31) 
83.33(+/-32.0) 86.46(+/-19.51) 16.67(+/-6.62) 82.3(+/-25.64) 
76.04(+/-29.34) 86.46(+/-19.91) 18.75(+/-13.85) 87.5(+/-18.16) 
80.2(+/-31.9) 86.46(+/-20.29) 17.71(+/-9.44) 82.3(+/-25.2) 
79.16(+/-29.8) 87.5(+/-18.06) 22.92(+/-9.8) 86.46(+/-19.91) 
83.33(+/-29.34) 84.38(+/-22.32) 15.62(+/-7.24) 83.34(+/-23.85) 
75.0(+/-30.19) 88.54(+/-17.1) 16.66(+/-7.42) 84.38(+/-22.75) 
79.16(+/-28.44) 85.42(+/-21.33) 21.88(+/-15.87) 89.58(+/-14.74) 
80.21(+/-28.88) 84.38(+/-22.92) 15.62(+/-8.22) 85.42(+/-21.06) 
