26.5(+/-12.35) 41.0(+/-13.14) 20.0(+/-10.73) 76.5(+/-13.12) 
29.5(+/-14.17) 40.0(+/-12.47) 21.5(+/-9.15) 77.0(+/-13.41) 
29.5(+/-14.7) 41.5(+/-13.16) 22.5(+/-9.51) 75.0(+/-11.59) 
31.5(+/-14.62) 42.0(+/-13.76) 23.0(+/-8.19) 76.0(+/-12.85) 
32.0(+/-17.07) 42.5(+/-13.74) 24.5(+/-10.32) 75.5(+/-13.22) 
29.5(+/-14.61) 44.0(+/-11.48) 25.0(+/-9.03) 76.5(+/-12.96) 
31.5(+/-16.48) 44.0(+/-13.1) 24.0(+/-9.71) 76.0(+/-13.41) 
33.5(+/-17.53) 45.5(+/-11.62) 27.0(+/-11.71) 77.0(+/-14.48) 
30.5(+/-16.02) 45.5(+/-12.7) 25.5(+/-9.97) 77.5(+/-13.87) 
29.0(+/-12.27) 44.5(+/-11.39) 24.5(+/-11.97) 77.5(+/-14.3) 
29.5(+/-11.33) 43.5(+/-12.87) 23.5(+/-12.42) 78.0(+/-13.93) 
34.0(+/-14.49) 45.0(+/-11.75) 24.0(+/-12.13) 78.0(+/-13.93) 
32.5(+/-12.81) 44.5(+/-11.74) 26.0(+/-13.67) 77.5(+/-14.3) 
32.0(+/-12.37) 43.5(+/-10.5) 24.5(+/-11.11) 79.0(+/-14.41) 
33.0(+/-11.94) 41.5(+/-11.6) 24.0(+/-12.86) 78.5(+/-14.01) 
34.0(+/-13.47) 42.0(+/-11.02) 25.5(+/-13.21) 79.0(+/-14.41) 
34.0(+/-13.77) 43.0(+/-10.42) 24.0(+/-12.83) 78.5(+/-13.73) 
35.0(+/-15.12) 42.5(+/-10.32) 25.5(+/-13.88) 79.0(+/-14.41) 
33.0(+/-14.52) 42.0(+/-12.05) 25.0(+/-13.77) 78.5(+/-13.73) 
31.5(+/-14.75) 42.0(+/-10.76) 25.5(+/-13.38) 77.5(+/-13.07) 
31.5(+/-13.2) 41.5(+/-11.31) 27.5(+/-13.41) 78.0(+/-13.36) 
