67.5(+/-36.22) 86.25(+/-18.87) 16.25(+/-9.35) 85.0(+/-19.54) 
73.75(+/-31.08) 87.5(+/-17.29) 13.75(+/-7.74) 81.25(+/-23.14) 
72.5(+/-31.6) 85.0(+/-18.8) 15.0(+/-7.02) 80.0(+/-24.5) 
78.75(+/-30.97) 83.75(+/-20.78) 22.5(+/-13.66) 85.0(+/-18.8) 
73.75(+/-32.31) 90.0(+/-14.58) 22.5(+/-9.35) 81.25(+/-23.1) 
77.5(+/-31.3) 81.25(+/-23.76) 16.25(+/-7.74) 82.5(+/-21.82) 
73.75(+/-32.56) 80.0(+/-24.82) 18.75(+/-11.38) 80.0(+/-26.82) 
75.0(+/-30.41) 80.0(+/-28.49) 17.5(+/-15.59) 75.0(+/-30.62) 
67.5(+/-30.05) 81.25(+/-25.12) 18.75(+/-13.5) 81.25(+/-25.12) 
75.0(+/-29.43) 85.0(+/-21.3) 22.5(+/-10.59) 83.75(+/-21.12) 
68.75(+/-27.71) 82.5(+/-24.58) 23.75(+/-11.24) 80.0(+/-25.81) 
71.25(+/-24.34) 83.75(+/-22.24) 16.25(+/-11.46) 82.5(+/-21.82) 
73.75(+/-29.36) 82.5(+/-22.24) 20.0(+/-13.66) 85.0(+/-18.8) 
77.5(+/-30.25) 80.0(+/-27.44) 15.0(+/-10.96) 81.25(+/-23.1) 
76.25(+/-30.18) 83.75(+/-22.48) 17.5(+/-6.46) 82.5(+/-21.43) 
65.0(+/-25.36) 82.5(+/-23.14) 15.0(+/-11.96) 83.75(+/-22.55) 
77.5(+/-30.3) 86.25(+/-17.9) 17.5(+/-7.5) 80.0(+/-24.82) 
67.5(+/-26.42) 81.25(+/-23.76) 20.0(+/-13.48) 86.25(+/-19.68) 
72.5(+/-26.15) 85.0(+/-20.15) 20.0(+/-11.38) 80.0(+/-25.12) 
72.5(+/-30.02) 80.0(+/-25.12) 23.75(+/-12.18) 87.5(+/-15.81) 
72.5(+/-29.36) 83.75(+/-21.43) 16.25(+/-12.18) 91.25(+/-11.12) 
